Region data,Center_X,Center_Y,BV0_X,BV0_Y,BV1_X,BV1_Y,BV2_X,BV2_Y,BV3_X,BV3_Y,BV4_X,BV4_Y,BV5_X,BV5_Y,BV6_X,BV6_Y,BV7_X,BV7_Y,,,,,,,,
,18.42047,112.3697,-94.54042,149.7388,-21.95521,184.0732,200.6237,191.1699,91.29188,100.4094,56.86111,70.4257,32.14259,58.82973,6.818951,69.50442,-39.53949,62.03742,-76.8597,88.01754,,,,,,
Zones data,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Center_X,Center_Y,BV0_X,BV0_Y,BV1_X,BV1_Y,BV2_X,BV2_Y,BV3_X,BV3_Y,BV4_X,BV4_Y,BV5_X,BV5_Y,BV6_X,BV6_Y,BV7_X,BV7_Y,Connection_1,Connection_2,Connection_3,Connection_4,Connection_5,Connection_6,Connection_7,Connection_8
R0_P5,46.06416,19.52569,67.11571,115.4328,38.76123,132.2578,69.22636,146.5576,69.22636,146.5576,85.89664,140.5228,,,,,,,R0_P13,R0_P4,R0_P4,,R0_P27,,,,
R0_P4,19.03916,34.49776,12.42768,137.9076,19.63574,157.9405,52.19783,160.4057,69.22636,146.5576,38.76123,132.2578,,,,,,,R0_P9,R0_P11,R0_P10,R0_P5,R0_P22,,,,
R0_P10,60.98941,50.37319,69.22636,146.5576,52.19783,160.4057,60.26144,182.9982,94.46867,181.1199,126.481,133.2431,,,,,,,R0_P4,R0_P11,,,,,,,
R0_P11,14.69729,56.27718,19.63574,157.9405,17.51077,185.5715,60.26144,182.9982,52.19783,160.4057,,,,,,,,,R0_P9,,R0_P10,R0_P4,,,,,
R0_P13,37.63731,-4.671638,34.78171,103.7903,38.76123,132.2578,67.11571,115.4328,91.89056,100.1471,73.25725,85.67026,,,,,,,R0_P22,R0_P5,R0_P27,R2_P22,R0_P26,,,,
R0_P9,-19.91804,45.4183,12.42768,137.9076,-14.37556,145.7106,-27.56456,178.7147,17.51077,185.5715,19.63574,157.9405,,,,,,,R0_P16,R0_P29,,R0_P11,R0_P4,,,,
R0_P18,-62.9985,7.641869,-60.42294,116.7318,-46.01914,136.3411,-26.66128,126.8909,-48.49349,99.65535,,,,,,,,,R0_P30,R0_P29,R0_P19,R0_P24,,,,,
R0_P16,-24.59003,16.72916,-26.66128,126.8909,-14.37556,145.7106,12.42768,137.9076,1.246063,109.5416,,,,,,,,,R0_P29,R0_P9,R0_P22,R0_P19,,,,,
R0_P20,-5.72864,-13.937,-7.135504,93.66208,1.246063,109.5416,34.78171,103.7903,17.75681,85.89069,,,,,,,,,R0_P19,R0_P22,R0_P26,R0_P21,,,,,
R0_P21,-18.15036,-31.15742,-17.3378,82.8407,-7.135504,93.66208,17.75681,85.89069,8.732663,70.96403,-8.588293,67.47642,,,,,,,,R0_P20,R0_P26,,R0_P23,,,,
R0_P22,3.251022,8.469322,1.246063,109.5416,12.42768,137.9076,38.76123,132.2578,34.78171,103.7903,,,,,,,,,R0_P16,R0_P4,R0_P13,R0_P20,,,,,
R0_P23,-43.44847,-40.79647,-40.08521,62.73066,-24.13854,89.99526,-17.3378,82.8407,-8.588293,67.47642,-20.18001,59.584,,,,,,,R0_P25,,R0_P21,,,,,,
R0_P26,17.04158,-32.73286,8.732663,70.96403,17.75681,85.89069,34.78171,103.7903,73.25725,85.67026,57.80385,70.04307,31.84136,59.34604,,,,,R0_P21,R0_P20,R0_P13,R2_P22,R1_P13,R1_P21,,,
R0_P27,69.77234,5.138893,67.11571,115.4328,85.89664,140.5228,92.77022,139.4439,108.3363,114.6752,91.89056,100.1471,,,,,,,R0_P5,,R0_P28,R2_P23,R0_P13,,,,
R0_P28,90.84999,13.98223,108.3363,114.6752,92.77022,139.4439,130.9863,134.3426,,,,,,,,,,,R0_P27,,R2_P19,,,,,,
R0_P25,-64.64337,-31.00671,-61.82898,76.27184,-48.49349,99.65535,-24.13854,89.99526,-40.08521,62.73066,,,,,,,,,R0_P24,R0_P19,R0_P23,R6_P6,,,,,
R0_P19,-42.52583,-2.272469,-24.13854,89.99526,-48.49349,99.65535,-26.66128,126.8909,1.246063,109.5416,-7.135504,93.66208,,,,,,,R0_P25,R0_P18,R0_P16,R0_P20,,,,,
R0_P24,-85.23355,-12.0364,-61.82898,76.27184,-77.1971,87.5495,-84.22141,114.2043,-60.42294,116.7318,-48.49349,99.65535,,,,,,,R6_P10,R6_P7,R0_P30,R0_P18,R0_P25,,,,
R0_P29,-50.10892,36.95425,-46.01914,136.3411,-56.72068,157.9012,-27.56456,178.7147,-14.37556,145.7106,-26.66128,126.8909,,,,,,,R0_P30,,R0_P9,R0_P16,R0_P18,,,,
R0_P30,-85.00337,16.33898,-84.22141,114.2043,-91.12262,139.9268,-56.72068,157.9012,-46.01914,136.3411,-60.42294,116.7318,,,,,,,R6_P7,,R0_P29,R0_P18,R0_P24,,,,
