Region data,Center_X,Center_Y,BV0_X,BV0_Y,BV1_X,BV1_Y,BV2_X,BV2_Y,BV3_X,BV3_Y,BV4_X,BV4_Y,BV5_X,BV5_Y,BV6_X,BV6_Y,BV7_X,BV7_Y,,,,,,,,
,55.73333,3.593359,6.818951,69.50442,32.14259,58.82973,56.86111,70.4257,187.9606,13.61473,121.3714,-56.27444,12.49613,-55.97704,-70.20854,6.701285,-39.53949,62.03741,,,,,,,,
Zones data,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Center_X,Center_Y,BV0_X,BV0_Y,BV1_X,BV1_Y,BV2_X,BV2_Y,BV3_X,BV3_Y,BV4_X,BV4_Y,BV5_X,BV5_Y,BV6_X,BV6_Y,BV7_X,BV7_Y,Connection_1,Connection_2,Connection_3,Connection_4,Connection_5,Connection_6,Connection_7,Connection_8
R1_P0,55.22475,-24.70196,86.14406,-31.93484,88.47202,-4.606661,118.7857,-6.34738,141.6261,-35.69587,,,,,,,,,R1_P19,R1_P8,R1_P22,R1_P9,,,,,
R1_P8,44.69937,13.84276,88.47202,-4.606662,70.81483,15.02431,81.33675,33.77223,121.6882,42.3621,126.857,16.29493,118.7857,-6.34738,,,,,R1_P19,R1_P17,R1_P20,R1_P23,R1_P22,R1_P0,,,
R1_P9,49.54914,-50.21993,76.8366,-57.09264,86.14406,-31.93484,141.6261,-35.69587,121.5504,-57.50919,,,,,,,,,R1_P15,R1_P0,R3_P2,R18_P3,,,,,
R1_P11,-70.9554,39.19234,-6.632559,21.37933,-52.74479,38.26973,-40.0852,62.73066,-6.470581,59.87156,14.2913,39.50091,,,,,,,R1_P12,R6_P6,,R1_P21,R1_P18,,,,
R1_P12,-92.9001,8.821361,-49.38669,-8.313659,-70.01708,6.904799,-52.74479,38.26973,-6.632561,21.37933,-16.25111,-2.368379,,,,,,,R7_P12,R6_P5,R1_P11,R1_P18,R1_P16,,,,
R1_P14,-37.51951,-46.44625,11.90889,-55.51699,-13.40231,-36.55801,7.345611,-24.10065,43.79082,-29.80344,37.85459,-57.19263,,,,,,,R7_P14,R1_P16,R1_P19,R1_P15,R18_P4,,,,
R1_P15,5.77602,-49.3891,37.85459,-57.19263,43.79082,-29.80344,86.14406,-31.93484,76.8366,-57.09264,,,,,,,,,R1_P14,R1_P19,R1_P9,R18_P3,,,,,
R1_P17,-5.811188,24.48091,14.2913,39.50091,81.33675,33.77223,70.81483,15.02431,28.03208,7.977631,,,,,,,,,R1_P13,R1_P8,R1_P19,R1_P18,,,,,
R1_P16,-68.9534,-22.57454,-13.40231,-36.55801,-49.38669,-8.313659,-16.25111,-2.368378,7.345611,-24.10065,,,,,,,,,R7_P12,R1_P12,R1_P18,R1_P14,,,,,
R1_P18,-50.17646,4.9234,7.345611,-24.10065,-16.25111,-2.368379,-6.632561,21.37933,14.2913,39.50091,28.03208,7.977631,,,,,,,R1_P16,R1_P12,R1_P11,R1_P17,R1_P19,,,,
R1_P19,-2.553169,-12.30598,43.79082,-29.80344,7.345613,-24.10065,28.03208,7.97763,70.81483,15.02431,88.47202,-4.606661,86.14406,-31.93484,,,,,R1_P14,R1_P18,R1_P17,R1_P8,R1_P0,R1_P15,,,
R1_P21,-41.84337,49.563,14.2913,39.50091,-6.470581,59.87156,8.732663,70.96403,31.84136,59.34604,,,,,,,,,R1_P11,,R0_P26,R1_P13,,,,,
R1_P13,-11.19262,48.92948,14.2913,39.50091,31.84136,59.34604,57.80385,70.04307,81.33675,33.77223,,,,,,,,,R1_P21,R0_P26,R1_P20,R1_P17,,,,,
R1_P20,33.37086,42.83139,81.33675,33.77223,57.80385,70.04307,121.6882,42.3621,,,,,,,,,,,R1_P13,R2_P21,R1_P8,,,,,,
R1_P22,83.62168,-14.57613,141.6261,-35.69587,118.7857,-6.347379,126.857,16.29493,163.7687,-13.16735,,,,,,,,,R1_P0,R1_P8,R1_P23,R3_P2,,,,,
R1_P23,96.14762,10.85725,163.7687,-13.16735,126.857,16.29493,121.6882,42.3621,157.0954,26.34541,188.9346,13.45741,,,,,,,R1_P22,R1_P8,R2_P29,R2_P34,R3_P0,,,,
