Region data,Center_X,Center_Y,BV0_X,BV0_Y,BV1_X,BV1_Y,BV2_X,BV2_Y,BV3_X,BV3_Y,BV4_X,BV4_Y,BV5_X,BV5_Y,BV6_X,BV6_Y,BV7_X,BV7_Y,,,,,,,,
,276.5954,239.2592,137.426,194.3874,138.2942,278.4661,269.7946,325.9384,385.8546,255.5016,412.8779,157.5731,497.2529,94.52977,473.2954,68.43043,365.4822,102.957,,,,,,,,
Zones data,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Center_X,Center_Y,BV0_X,BV0_Y,BV1_X,BV1_Y,BV2_X,BV2_Y,BV3_X,BV3_Y,BV4_X,BV4_Y,BV5_X,BV5_Y,BV6_X,BV6_Y,BV7_X,BV7_Y,Connection_1,Connection_2,Connection_3,Connection_4,Connection_5,Connection_6,Connection_7,Connection_8
R11_P0,-125.2807,-15.80853,138.1354,209.2706,138.1861,246.366,165.3146,231.1167,164.164,200.1879,,,,,,,,,R10_P2,R11_P2,R11_P1,,,,,,
R11_P1,-84.88824,-23.82655,164.164,200.1879,165.3146,231.1167,207.9074,223.4856,239.8218,198.8798,225.0267,191.6011,,,,,,,R11_P0,R11_P2,R11_P5,,,,,,
R11_P2,-95.07614,-0.2880859,165.3146,231.1167,138.1861,246.366,175.5777,256.9728,201.9895,245.9056,207.9074,223.4856,,,,,,,R11_P0,R11_P4,R11_P3,R11_P5,R11_P1,,,,
R11_P3,-81.49747,30.62544,175.5777,256.9728,166.9561,288.7573,193.2809,297.7552,217.6916,281.9327,219.7308,260.4615,201.9895,245.9056,,,,,R11_P4,,R11_P15,R11_P14,R11_P5,R11_P2,,,
R11_P4,-123.1674,28.12395,138.1861,246.366,137.9088,277.8475,166.9561,288.7573,175.5777,256.9728,,,,,,,,,R10_P3,,R11_P3,R11_P2,,,,,
R11_P5,-47.55635,-3.335052,207.9074,223.4856,201.9895,245.9056,219.7308,260.4615,254.9108,240.4697,239.8218,198.8798,,,,,,,R11_P2,R11_P3,R11_P14,R11_P6,R11_P1,,,,
R11_P6,-0.1290894,-24.61635,252.3754,187.841,239.8218,198.8798,254.9108,240.4697,296.4265,229.4416,311.285,199.1178,280.7448,177.1178,,,,,,R11_P5,R11_P14,R11_P12,R11_P7,,,,
R11_P7,34.41431,-61.94443,280.7448,177.1178,311.285,199.1178,346.4492,172.6704,296.6699,157.0327,,,,,,,,,R11_P6,R11_P10,R11_P8,,,,,,
R11_P8,54.1521,-91.35878,325.3271,118.1793,305.1841,139.2381,296.6699,157.0327,346.4492,172.6704,384.3465,118.7543,,,,,,,,,R11_P7,R11_P9,,,,,
R11_P9,105.8508,-89.78127,384.3465,118.7543,346.4492,172.6704,412.7309,155.7877,399.9565,123.1996,,,,,,,,,R11_P8,R11_P10,R11_P16,,,,,,
R11_P10,90.94769,-53.46294,346.4492,172.6704,311.285,199.1178,356.5357,206.9539,406.0841,186.453,412.7309,155.7877,,,,,,,R11_P7,R11_P12,R11_P11,R8_P22,R11_P9,,,,
R11_P11,97.64099,-16.38414,356.5357,206.9539,346.4218,240.8887,386.1403,254.2275,406.0841,186.453,,,,,,,,,R11_P12,R11_P13,R8_P24,R11_P10,,,,,
R11_P12,51.1683,-15.6124,311.285,199.1178,296.4265,229.4416,314.0708,249.161,346.4218,240.8887,356.5357,206.9539,,,,,,,R11_P6,R11_P14,R11_P13,R11_P11,R11_P10,,,,
R11_P13,62.33289,24.09087,314.0708,249.161,305.8419,276.9286,329.6328,289.2354,386.1403,254.2275,346.4218,240.8887,,,,,,,R11_P14,R11_P15,,R11_P11,R11_P12,,,,
R11_P14,-8.61615,16.33023,254.9108,240.4697,219.7308,260.4615,217.6916,281.9327,305.8419,276.9286,314.0708,249.161,296.4265,229.4416,,,,,R11_P5,R11_P3,R11_P15,R11_P13,R11_P12,R11_P6,,,
R11_P15,-11.72812,60.25435,217.6916,281.9327,193.2809,297.7552,270.1914,323.6147,329.6328,289.2354,305.8419,276.9286,,,,,,,R11_P3,,,R11_P13,R11_P14,,,,
R11_P16,147.2898,-104.9484,399.9565,123.1996,412.7309,155.7877,450.2618,133.9215,426.5775,113.6818,,,,,,,,,R11_P9,R8_P22,R11_P17,,,,,,
R11_P17,181.0338,-134.0598,445.8112,88.28436,426.5775,113.6818,450.2618,133.9215,495.8273,91.60792,476.6874,77.0084,,,,,,,,R11_P16,R8_P12,,,,,,
