Region data,Center_X,Center_Y,BV0_X,BV0_Y,BV1_X,BV1_Y,BV2_X,BV2_Y,BV3_X,BV3_Y,BV4_X,BV4_Y,BV5_X,BV5_Y,BV6_X,BV6_Y,BV7_X,BV7_Y,,,,,,,,
,771.0166,40.24541,643.0034,-12.36938,716.1133,126.3766,831.491,143.4681,888.4626,96.78753,910.0179,20.58124,852.8734,4.633257,811.6575,-62.39924,705.4941,-62.88444,,,,,,,,
Zones data,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Center_X,Center_Y,BV0_X,BV0_Y,BV1_X,BV1_Y,BV2_X,BV2_Y,BV3_X,BV3_Y,BV4_X,BV4_Y,BV5_X,BV5_Y,BV6_X,BV6_Y,BV7_X,BV7_Y,Connection_1,Connection_2,Connection_3,Connection_4,Connection_5,Connection_6,Connection_7,Connection_8
R13_P0,-47.82727,-78.4991,706.8223,-59.27887,693.0172,-38.68262,741.5532,-25.64798,742.6,-44.56073,,,,,,,,,,R13_P1,,,,,,,
R13_P1,-63.85071,-60.53284,693.0172,-38.68262,663.671,-19.82795,697.8847,-2.919944,734.7913,-8.357388,741.5532,-25.64798,,,,,,,,R13_P2,R13_P3,R13_P4,R13_P0,,,,
R13_P2,-85.90234,-22.34168,663.671,-19.82795,654.0628,8.278578,672.9214,45.4215,706.0687,23.89818,697.8847,-2.919946,,,,,,,,R8_P1,R13_P10,R13_P3,R13_P1,,,,
R13_P3,-40.46851,-29.98742,734.7913,-8.357388,697.8847,-2.919945,706.0687,23.89818,737.5425,32.33495,761.3779,4.567274,,,,,,,R13_P1,R13_P2,R13_P10,R13_P13,R13_P4,,,,
R13_P4,-9.205017,-48.92044,741.5532,-25.64798,734.7913,-8.357388,761.3779,4.567272,787.9567,-7.947298,768.6311,-27.52594,,,,,,,R13_P1,R13_P3,R13_P9,R13_P7,R13_P5,,,,
R13_P5,-2.845947,-83.6682,744.4847,-62.91653,741.5532,-25.64798,768.6311,-27.52594,787.2108,-42.27152,781.1335,-63.31578,,,,,,,,R13_P4,R13_P7,R13_P6,,,,,
R13_P6,32.55365,-89.8053,781.1335,-63.31578,787.2108,-42.27152,828.7554,-34.74049,809.363,-64.75879,,,,,,,,,R13_P5,R13_P7,R15_P6,,,,,,
R13_P7,36.20099,-60.07756,787.2108,-42.27152,768.6311,-27.52594,787.9567,-7.9473,813.7832,-0.8474064,840.1142,-14.29251,828.7554,-34.74049,,,,,R13_P5,R13_P4,R13_P9,R13_P8,R15_P17,R13_P6,,,
R13_P8,59.76813,-35.38593,813.7832,-0.8474083,813.0684,13.64698,829.7297,20.76827,851.9081,5.639832,840.1142,-14.29251,,,,,,,R13_P9,R13_P11,R13_P14,R15_P15,R13_P7,,,,
R13_P9,20.56714,-32.50131,787.9567,-7.9473,761.3779,4.567272,788.8541,21.78199,813.0684,13.64698,813.7832,-0.8474087,,,,,,,R13_P4,R13_P13,R13_P11,R13_P8,R13_P7,,,,
