Region data,Center_X,Center_Y,BV0_X,BV0_Y,BV1_X,BV1_Y,BV2_X,BV2_Y,BV3_X,BV3_Y,BV4_X,BV4_Y,BV5_X,BV5_Y,BV6_X,BV6_Y,BV7_X,BV7_Y,,,,,,,,
,1053.796,-18.63674,947.2621,-74.27866,910.8343,18.35907,1042.457,89.45473,1170.323,41.16294,1177.637,-49.66428,1098.666,-128.0896,974.5223,-110.2262,,,,,,,,,,
Zones data,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Center_X,Center_Y,BV0_X,BV0_Y,BV1_X,BV1_Y,BV2_X,BV2_Y,BV3_X,BV3_Y,BV4_X,BV4_Y,BV5_X,BV5_Y,BV6_X,BV6_Y,BV7_X,BV7_Y,Connection_1,Connection_2,Connection_3,Connection_4,Connection_5,Connection_6,Connection_7,Connection_8
R14_P0,-113.4151,28.08655,925.6014,-19.73778,910.2798,20.25346,946.0899,38.11841,968.1787,17.49292,956.8626,-8.894671,,,,,,,R15_P13,,R14_P8,R14_P7,R14_P5,,,,
R14_P1,-20.20801,-79.07207,1015.984,-111.7344,1006.636,-88.52503,1034.894,-80.02005,1064.311,-106.3084,1055.178,-116.8752,,,,,,,R14_P3,R14_P2,R14_P13,,,,,,
R14_P2,-46.80682,-46.63077,1006.636,-88.52503,976.2437,-72.42076,981.1321,-49.8568,1009.098,-41.91154,1031.715,-57.16243,1034.894,-80.02005,,,,,R14_P3,R14_P4,R14_P6,R14_P12,R14_P13,R14_P1,,,
R14_P3,-67.46545,-74.16065,973.0555,-109.0954,948.3609,-74.82932,976.2437,-72.42076,1006.636,-88.52503,1015.984,-111.7344,,,,,,,R15_P8,R14_P4,R14_P2,R14_P1,,,,,
R14_P4,-93.4502,-35.49079,948.3609,-74.82932,938.4742,-51.9944,959.6702,-40.9794,981.1321,-49.8568,976.2437,-72.42076,,,,,,,R15_P9,R14_P5,R14_P6,R14_P2,R14_P3,,,,
R14_P5,-109.0406,-11.73655,938.4742,-51.9944,925.6014,-19.73778,956.8626,-8.894673,959.6702,-40.9794,,,,,,,,,R15_P12,R14_P0,R14_P6,R14_P4,,,,,
R14_P6,-72.95917,-9.648365,959.6702,-40.9794,956.8626,-8.894672,1020.357,-10.60415,1009.098,-41.91154,981.1321,-49.8568,,,,,,,R14_P5,R14_P7,R14_P12,R14_P2,R14_P4,,,,
R14_P7,-70.45996,20.92634,956.8626,-8.894672,968.1787,17.49292,1010.159,12.34031,1020.357,-10.60415,,,,,,,,,R14_P0,R14_P8,R14_P10,R14_P6,,,,,
R14_P8,-64.77118,51.93521,968.1787,17.49292,946.0899,38.11841,978.6048,55.93605,1023.12,37.18581,1010.159,12.34031,,,,,,,R14_P0,,R14_P9,R14_P10,R14_P7,,,,
R14_P9,-17.4679,79.18117,1023.12,37.18581,978.6048,55.93605,1041.859,89.51115,1068.473,79.5349,1071.482,39.85953,,,,,,,R14_P8,,,R14_P11,R14_P10,,,,
R14_P10,-7.962402,30.92738,1020.357,-10.60415,1010.159,12.34031,1023.12,37.18581,1071.482,39.85953,1088.327,2.74881,1076.101,-28.42284,,,,,R14_P7,R14_P8,R14_P9,R14_P18,R14_P17,R14_P12,,,
R14_P11,32.05823,79.101,1071.482,39.85953,1068.473,79.5349,1099.159,69.15437,1099.565,48.79267,,,,,,,,,R14_P9,,R14_P19,R14_P18,,,,,
R14_P12,-15.52478,-15.83826,1031.715,-57.16243,1009.098,-41.91154,1020.357,-10.60415,1076.101,-28.42284,1066.267,-54.66336,,,,,,,R14_P2,R14_P6,R14_P10,R14_P16,R14_P13,,,,
R14_P13,14.88525,-61.45395,1064.311,-106.3084,1034.894,-80.02005,1031.715,-57.16243,1066.267,-54.66336,1093.125,-82.07514,1088.461,-114.1814,,,,,R14_P1,R14_P2,R14_P12,R14_P16,R14_P14,,,,
R14_P14,53.04602,-77.52917,1114.625,-113.6275,1088.461,-114.1814,1093.125,-82.07514,1115.206,-82.59434,1127.871,-98.78757,,,,,,,,R14_P13,R14_P16,R14_P15,R23_P18,,,,
R14_P15,78.10645,-57.68656,1127.871,-98.78757,1115.206,-82.59434,1116.741,-60.72014,1137.752,-58.08641,1151.172,-76.98878,,,,,,,R14_P14,R14_P16,R14_P22,R14_P21,R23_P18,,,,
R14_P16,40.28284,-35.92747,1093.125,-82.07514,1066.267,-54.66336,1076.101,-28.42284,1104.572,-35.75648,1116.741,-60.72014,1115.206,-82.59434,,,,,R14_P13,R14_P12,R14_P17,R14_P22,R14_P15,R14_P14,,,
R14_P17,43.63135,0.3034515,1076.101,-28.42284,1088.327,2.74881,1116.569,-9.441883,1104.572,-35.75648,,,,,,,,,R14_P10,R14_P18,R14_P22,R14_P16,,,,,
R14_P18,50.02026,42.62158,1088.327,2.748809,1071.482,39.85953,1099.565,48.79267,1129.453,32.65318,1136.428,9.591291,1116.569,-9.441886,,,,,R14_P10,R14_P11,R14_P19,R14_P20,R14_P23,R14_P17,,,
R14_P19,71.83728,67.03006,1099.565,48.79267,1099.159,69.15437,1170.557,40.92421,1129.453,32.65318,,,,,,,,,R14_P11,,R14_P20,R14_P18,,,,,
R14_P20,100.41,38.18585,1136.428,9.59129,1129.453,32.65318,1170.557,40.92421,1175.047,-2.557617,,,,,,,,,R14_P18,R14_P19,R23_P22,R14_P23,,,,,
R14_P21,102.2994,-39.19465,1151.172,-76.98878,1137.752,-58.08641,1148.255,-37.93649,1176.76,-50.02327,,,,,,,,,R14_P15,R14_P22,R14_P24,R23_P19,,,,,
R14_P22,72.35303,-18.32587,1116.741,-60.72014,1104.572,-35.75648,1116.569,-9.441883,1140.918,-18.33486,1148.255,-37.93649,1137.752,-58.08641,,,,,R14_P16,R14_P17,R14_P23,R14_P24,R14_P21,R14_P15,,,
R14_P23,88.57629,14.67507,1116.569,-9.441883,1136.428,9.59129,1175.047,-2.557617,1140.918,-18.33486,,,,,,,,,R14_P18,R14_P20,R14_P24,R14_P22,,,,,
R14_P24,108.793,-5.540474,1140.918,-18.33486,1175.047,-2.557617,1176.76,-50.02327,1148.255,-37.93649,,,,,,,,,R14_P23,R23_P21,R14_P21,R14_P22,,,,,
