Region data,Center_X,Center_Y,BV0_X,BV0_Y,BV1_X,BV1_Y,BV2_X,BV2_Y,BV3_X,BV3_Y,BV4_X,BV4_Y,BV5_X,BV5_Y,BV6_X,BV6_Y,BV7_X,BV7_Y,,,,,,,,
,877.8906,-73.61709,811.6575,-62.39924,852.8734,4.633259,910.0179,20.58124,947.2621,-74.27866,974.5223,-110.2262,957.6669,-145.8743,870.3558,-147.9262,798.11,-123.3416,793.6709,-73.58724,,,,,,
Zones data,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Center_X,Center_Y,BV0_X,BV0_Y,BV1_X,BV1_Y,BV2_X,BV2_Y,BV3_X,BV3_Y,BV4_X,BV4_Y,BV5_X,BV5_Y,BV6_X,BV6_Y,BV7_X,BV7_Y,Connection_1,Connection_2,Connection_3,Connection_4,Connection_5,Connection_6,Connection_7,Connection_8
R15_P0,51.61029,-59.5707,912.3654,-147.247,904.0356,-128.117,908.174,-114.7038,953.7446,-115.0787,956.33,-146.7475,,,,,,,R15_P1,,,,R16_P9,,,,
R15_P1,12.65302,-65.94027,869.1066,-147.6545,877.0753,-128.7789,904.0356,-128.117,912.3654,-147.247,,,,,,,,,R15_P3,R15_P2,R15_P0,R16_P8,,,,,
R15_P2,3.25238,-38.60625,877.0753,-128.7789,864.7175,-108.5737,882.7323,-90.99958,896.4106,-104.0048,904.0356,-128.117,,,,,,,R15_P3,R15_P7,R15_P10,,R15_P1,,,,
R15_P3,-23.0614,-54.34277,835.043,-135.4031,837.6105,-114.6398,864.7175,-108.5737,877.0753,-128.7789,869.1066,-147.6545,,,,,,,R15_P5,R15_P7,R15_P2,R15_P1,R16_P4,,,,
R15_P4,-69.87244,-20.5957,798.5078,-124.3211,793.4182,-74.0565,809.363,-64.75879,823.0983,-92.42109,,,,,,,,,R4_P46,,R15_P6,R15_P5,,,,,
R15_P5,-55.45465,-41.76121,835.043,-135.4031,798.5078,-124.3211,823.0983,-92.42109,837.6105,-114.6398,,,,,,,,,R16_P4,R15_P4,R15_P7,R15_P3,,,,,
R15_P6,-40.198,8.226074,823.0983,-92.42109,809.363,-64.75879,828.7554,-34.74049,862.1411,-55.00203,856.1812,-78.5508,,,,,,,R15_P4,R13_P6,R15_P17,R15_P11,R15_P7,,,,
R15_P7,-27.7915,-24.15108,837.6105,-114.6398,823.0983,-92.42109,856.1812,-78.5508,882.7323,-90.99958,864.7175,-108.5737,,,,,,,R15_P5,R15_P6,R15_P11,R15_P2,R15_P3,,,,
R15_P8,62.8783,-17.61511,928.5067,-108.373,915.7167,-81.38786,948.3609,-74.82932,973.0555,-109.0954,,,,,,,,,R15_P10,R15_P9,R14_P3,,,,,,
R15_P9,46.38251,6.624832,915.7167,-81.38786,903.4936,-57.93668,938.4742,-51.9944,948.3609,-74.82932,,,,,,,,,R15_P11,R15_P12,R14_P4,R15_P8,,,,,
R15_P10,30.28894,-19.08934,896.4106,-104.0048,882.7323,-90.99958,915.7167,-81.38786,928.5067,-108.373,,,,,,,,,R15_P2,R15_P11,R15_P8,,,,,,
R15_P11,5.891418,0.5260849,882.7323,-90.99958,856.1812,-78.5508,862.1411,-55.00203,903.4936,-57.93668,915.7167,-81.38786,,,,,,,R15_P7,R15_P6,R15_P16,R15_P9,R15_P10,,,,
R15_P12,39.54388,28.85402,903.4936,-57.93668,893.7017,-28.15131,925.6014,-19.73778,938.4742,-51.9944,,,,,,,,,R15_P16,R15_P13,R14_P5,R15_P9,,,,,
R15_P13,19.92413,62.21799,893.7017,-28.15131,874.0112,-21.77436,881.0914,9.749081,910.2798,20.25346,925.6014,-19.73778,,,,,,,R15_P16,R15_P15,,R14_P0,R15_P12,,,,
R15_P15,-18.22003,63.01335,840.1142,-14.29251,851.9081,5.639835,881.0914,9.749081,874.0112,-21.77436,,,,,,,,,R13_P8,,R15_P13,R15_P17,,,,,
R15_P16,2.045227,30.2149,862.1411,-55.00203,874.0112,-21.77436,893.7017,-28.15131,903.4936,-57.93668,,,,,,,,,R15_P17,R15_P13,R15_P12,R15_P11,,,,,
R15_P17,-27.50726,42.66107,828.7554,-34.74049,840.1142,-14.29251,874.0112,-21.77436,862.1411,-55.00203,,,,,,,,,R13_P7,R15_P15,R15_P16,R15_P6,,,,,
