Region data,Center_X,Center_Y,BV0_X,BV0_Y,BV1_X,BV1_Y,BV2_X,BV2_Y,BV3_X,BV3_Y,BV4_X,BV4_Y,BV5_X,BV5_Y,BV6_X,BV6_Y,BV7_X,BV7_Y,,,,,,,,
,874.1208,-186.9444,809.6192,-239.0046,798.11,-123.3416,870.3558,-147.9262,957.6669,-145.8743,1016.98,-181.3674,1096.398,-214.3875,1042.059,-248.3078,869.618,-246.8096,,,,,,,,
Zones data,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Center_X,Center_Y,BV0_X,BV0_Y,BV1_X,BV1_Y,BV2_X,BV2_Y,BV3_X,BV3_Y,BV4_X,BV4_Y,BV5_X,BV5_Y,BV6_X,BV6_Y,BV7_X,BV7_Y,Connection_1,Connection_2,Connection_3,Connection_4,Connection_5,Connection_6,Connection_7,Connection_8
R16_P0,-80.75946,43.10994,776.6755,-145.063,798.5078,-124.3211,802.371,-163.3469,,,,,,,,,,,R4_P47,R16_P4,R4_P51,,,,,,
R16_P1,-41.61475,-30.26212,808.7689,-238.7614,805.9368,-199.979,855.1448,-205.783,861.4681,-243.9573,,,,,,,,,R4_P53,R16_P5,R16_P2,,,,,,
R16_P2,2.061707,-36.48271,861.4681,-243.9573,855.1448,-205.783,892.4891,-216.7377,898.9413,-246.4424,,,,,,,,,R16_P1,R16_P3,R16_P10,,,,,,
R16_P3,18.96802,-12.16096,892.4891,-216.7377,855.1448,-205.783,877.4781,-186.7794,909.0189,-186.6262,921.6781,-204.7628,,,,,,,R16_P2,R16_P6,R16_P7,,R16_P10,,,,
R16_P4,-46.68921,34.24924,837.6336,-170.7901,802.371,-163.3469,798.5078,-124.3211,835.043,-135.4031,869.1066,-147.6545,,,,,,,R16_P5,R16_P0,R15_P5,R15_P3,R16_P7,,,,
R16_P5,-49.22754,0.8097534,805.9368,-199.979,802.371,-163.3469,837.6336,-170.7901,855.1448,-205.783,,,,,,,,,R4_P52,R16_P4,R16_P6,R16_P1,,,,,
R16_P6,-17.05157,-0.5665283,855.1448,-205.783,837.6336,-170.7901,877.4781,-186.7794,,,,,,,,,,,R16_P5,R16_P7,R16_P3,,,,,,
R16_P7,2.392273,17.66043,877.4781,-186.7794,837.6336,-170.7901,869.1066,-147.6545,909.0189,-186.6262,,,,,,,,,R16_P6,R16_P4,R16_P8,R16_P3,,,,,
R16_P8,25.74963,24.59315,869.1066,-147.6545,912.3654,-147.247,909.0189,-186.6262,,,,,,,,,,,R15_P1,R16_P9,R16_P7,,,,,,
R16_P9,59,19.50798,933.9302,-190.1391,909.0189,-186.6262,912.3654,-147.247,956.33,-146.7475,959.8268,-176.3088,,,,,,,,R16_P8,R15_P0,,R16_P11,,,,
R16_P10,48.06274,-35.37823,898.9413,-246.4424,892.4891,-216.7377,921.6781,-204.7628,944.1174,-204.7016,949.1761,-242.6801,,,,,,,R16_P2,R16_P3,,R16_P12,,,,,
R16_P11,83.1839,-7.808792,944.1174,-204.7016,933.9302,-190.1391,959.8268,-176.3088,983.0313,-198.3693,969.9141,-211.6878,,,,,,,,R16_P9,,R16_P13,R16_P12,,,,
R16_P12,82.89911,-31.33884,949.1761,-242.6801,944.1174,-204.7016,969.9141,-211.6878,971.7517,-232.376,,,,,,,,,R16_P10,R16_P11,R16_P13,,,,,,
R16_P13,113.0037,-31.91187,971.7517,-232.376,969.9141,-211.6878,983.0313,-198.3693,1026.835,-217.6672,1004.034,-244.8434,,,,,,,R16_P12,R16_P11,,,,,,,
