Region data,Center_X,Center_Y,BV0_X,BV0_Y,BV1_X,BV1_Y,BV2_X,BV2_Y,BV3_X,BV3_Y,BV4_X,BV4_Y,BV5_X,BV5_Y,BV6_X,BV6_Y,BV7_X,BV7_Y,,,,,,,,
,228.1381,-281.2668,143.1912,-147.7258,296.9493,-151.026,422.7863,-249.1629,340.7194,-373.0573,178.9314,-405.9151,69.64846,-296.7797,,,,,,,,,,,,
Zones data,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Center_X,Center_Y,BV0_X,BV0_Y,BV1_X,BV1_Y,BV2_X,BV2_Y,BV3_X,BV3_Y,BV4_X,BV4_Y,BV5_X,BV5_Y,BV6_X,BV6_Y,BV7_X,BV7_Y,Connection_1,Connection_2,Connection_3,Connection_4,Connection_5,Connection_6,Connection_7,Connection_8
R17_P0,-62.61009,109.5816,167.8765,-207.0812,124.6455,-187.0211,144.2494,-147.1786,201.2074,-148.7375,198.2118,-187.625,,,,,,,R17_P6,R18_P0,R3_P9,R17_P1,R17_P3,,,,
R17_P1,-7.256454,113.2959,198.2118,-187.625,201.2074,-148.7375,242.1843,-150.4092,238.9825,-191.5851,,,,,,,,,R17_P0,R3_P11,R17_P2,R17_P3,,,,,
R17_P2,68.45174,90.16742,263.6033,-225.5527,238.9825,-191.5851,242.1843,-150.4092,297.7841,-150.0627,367.5638,-204.0929,318.5869,-231.6288,,,,,R17_P3,R17_P1,R3_P6,R4_P1,R17_P10,R17_P4,,,
R17_P3,-13.30852,60.3139,181.6582,-250.1895,167.8765,-207.0812,198.2118,-187.625,238.9825,-191.5851,263.6033,-225.5527,239.2371,-254.5471,,,,,R17_P6,R17_P0,R17_P1,R17_P2,R17_P4,R17_P7,,,
R17_P4,51.5407,32.4173,287.1147,-272.0212,239.2371,-254.5471,263.6033,-225.5527,318.5869,-231.6288,,,,,,,,,R17_P8,R17_P3,R17_P2,R17_P12,,,,,
R17_P5,-55.84117,6.335999,166.2936,-300.5369,133.858,-265.7085,181.6582,-250.1895,212.6554,-284.4627,,,,,,,,,R17_P21,R17_P6,R17_P7,R17_P19,,,,,
R17_P6,-89.02481,51.38867,133.858,-265.7085,98.71188,-240.3957,124.6455,-187.0211,167.8765,-207.0812,181.6582,-250.1895,,,,,,,R17_P21,R18_P9,R17_P0,R17_P3,R17_P5,,,,
R17_P7,-15.86653,16.99582,212.6554,-284.4627,181.6582,-250.1895,239.2371,-254.5471,,,,,,,,,,,R17_P5,R17_P3,R17_P8,,,,,,
R17_P8,21.83574,-0.6866455,227.8404,-311.8052,212.6554,-284.4627,239.2371,-254.5471,287.1147,-272.0212,270.3619,-305.8501,,,,,,,R17_P19,R17_P7,R17_P4,R17_P13,R17_P16,,,,
R17_P9,173.1842,28.82864,370.9753,-250.499,401.3754,-231.2365,425.4315,-247.1804,404.9062,-276.7477,,,,,,,,,R17_P10,R4_P26,R19_P26,R17_P11,,,,,
R17_P10,139.7165,54.10211,318.5869,-231.6288,367.5638,-204.0929,401.3754,-231.2365,370.9753,-250.499,,,,,,,,,R17_P2,R4_P28,R17_P9,R17_P12,,,,,
R17_P11,145.0439,-3.502594,348.1631,-297.6202,342.175,-268.8711,370.9753,-250.499,404.9062,-276.7477,381.8556,-309.8316,,,,,,,R17_P13,R17_P12,R17_P9,R19_P3,R17_P14,,,,
R17_P12,100.5492,28.23651,287.1147,-272.0212,318.5869,-231.6288,370.9753,-250.499,342.175,-268.8711,,,,,,,,,R17_P4,R17_P10,R17_P11,R17_P13,,,,,
R17_P13,85.93416,-9.400635,316.4192,-324.0932,270.3619,-305.8501,287.1147,-272.0212,342.175,-268.8711,348.1631,-297.6202,,,,,,,R17_P16,R17_P8,R17_P12,R17_P11,R17_P14,,,,
R17_P14,119.3377,-45.53244,311.873,-352.9552,316.4192,-324.0932,348.1631,-297.6202,381.8556,-309.8316,339.2989,-373.4194,,,,,,,R17_P16,R17_P13,R17_P11,R19_P4,R17_P15,,,,
R17_P15,66.85591,-88.31287,248.6334,-391.4059,270.8817,-358.5757,311.873,-352.9552,339.2989,-373.4194,,,,,,,,,R17_P17,R17_P16,R17_P14,R19_P19,,,,,
R17_P16,45.14891,-50.00623,270.8817,-358.5757,231.3548,-343.9581,227.8404,-311.8052,270.3619,-305.8501,316.4192,-324.0932,311.873,-352.9552,,,,,R17_P17,R17_P19,R17_P8,R17_P13,R17_P14,R17_P15,,,
R17_P17,8.596909,-85.15103,208.4515,-373.2095,231.3548,-343.9581,270.8817,-358.5757,248.6334,-391.4059,,,,,,,,,R17_P19,R17_P16,R17_P15,R17_P18,,,,,
R17_P18,-22.16771,-108.0457,179.8754,-405.2634,208.4515,-373.2095,248.6334,-391.4059,,,,,,,,,,,R17_P20,R17_P17,R19_P18,,,,,,
R17_P19,-30.56499,-42.2128,208.4515,-373.2095,167.0043,-340.8001,166.2936,-300.5369,212.6554,-284.4627,227.8404,-311.8052,231.3548,-343.9581,,,,,R17_P20,R17_P21,R17_P5,R17_P8,R17_P16,R17_P17,,,
R17_P20,-55.33334,-90.13647,139.5309,-367.9249,167.0043,-340.8001,208.4515,-373.2095,179.8754,-405.2634,,,,,,,,,R17_P21,R17_P19,R17_P18,,,,,,
R17_P21,-102.5826,-26.18677,139.5309,-367.9249,71.19567,-296.953,98.71188,-240.3957,133.858,-265.7085,166.2936,-300.5369,167.0043,-340.8001,,,,,,R18_P10,R17_P6,R17_P5,R17_P19,R17_P20,,,
