Region data,Center_X,Center_Y,BV0_X,BV0_Y,BV1_X,BV1_Y,BV2_X,BV2_Y,BV3_X,BV3_Y,BV4_X,BV4_Y,BV5_X,BV5_Y,BV6_X,BV6_Y,BV7_X,BV7_Y,,,,,,,,
,-45.56736,-194.2142,-216.5366,-106.8946,-69.04135,-121.6046,12.49613,-55.97704,121.3714,-56.27443,143.1912,-147.7258,69.64845,-296.7797,-107.88,-304.0695,-252.4111,-214.57,,,,,,,,
Zones data,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Center_X,Center_Y,BV0_X,BV0_Y,BV1_X,BV1_Y,BV2_X,BV2_Y,BV3_X,BV3_Y,BV4_X,BV4_Y,BV5_X,BV5_Y,BV6_X,BV6_Y,BV7_X,BV7_Y,Connection_1,Connection_2,Connection_3,Connection_4,Connection_5,Connection_6,Connection_7,Connection_8
R18_P0,162.7752,32.62251,88.16496,-152.5246,144.2494,-147.1786,124.6455,-187.0211,,,,,,,,,,,R18_P1,R17_P0,R18_P9,,,,,,
R18_P1,154.3646,66.13293,88.16496,-152.5246,67.91736,-127.7801,100.1149,-106.0644,134.8874,-113.3738,144.2494,-147.1786,,,,,,,R18_P7,R18_P3,R18_P2,R3_P9,R18_P0,,,,
R18_P2,163.7574,102.1869,100.1149,-106.0644,121.5504,-57.50919,134.8874,-113.3738,,,,,,,,,,,R18_P3,R3_P7,R18_P1,,,,,,
R18_P3,118.7346,109.0783,67.91736,-127.7801,38.20667,-101.4335,37.85459,-57.19262,76.8366,-57.09264,121.5504,-57.50919,100.1149,-106.0644,,,,,R18_P7,R18_P4,R1_P15,R1_P9,R18_P2,R18_P1,,,
R18_P4,49.5059,104.1049,-6.413521,-126.509,-69.92947,-121.8956,11.90889,-55.51698,37.85459,-57.19263,38.20667,-101.4335,,,,,,,R18_P6,R7_P14,R1_P14,R18_P3,R18_P7,,,,
R18_P5,-143.1551,45.36548,-236.4143,-166.0873,-216.0831,-107.9765,-178.9819,-109.6512,-134.4661,-150.3085,,,,,,,,,R22_P12,R7_P1,R18_P6,R18_P14,,,,,
R18_P6,-38.6581,48.52983,-97.88383,-174.5853,-134.4661,-150.3085,-178.9819,-109.6512,-69.92947,-121.8956,-6.413513,-126.509,-44.12881,-169.5642,,,,,R18_P14,R18_P5,R7_P3,R18_P4,R18_P8,R18_P11,,,
R18_P7,81.41357,60.18553,15.36756,-167.4449,-6.413521,-126.509,38.20667,-101.4335,67.91736,-127.7801,88.16496,-152.5246,,,,,,,R18_P8,R18_P4,R18_P3,R18_P1,R18_P9,,,,
R18_P8,31.81751,32.0347,-14.63883,-198.0811,-44.12881,-169.5642,-6.413521,-126.509,15.36756,-167.4449,,,,,,,,,R18_P11,R18_P6,R18_P7,R18_P9,,,,,
R18_P9,102.3329,-5.743073,30.43058,-242.5817,-14.63883,-198.0811,15.36756,-167.4449,88.16496,-152.5246,124.6455,-187.0211,98.7119,-240.3957,,,,,R18_P11,R18_P8,R18_P7,R18_P0,R17_P6,R18_P10,,,
R18_P10,90.95984,-76.80258,-7.601032,-299.451,30.43058,-242.5817,98.71189,-240.3957,71.19566,-296.953,,,,,,,,,R18_P13,R18_P9,R17_P21,,,,,,
R18_P11,3.534958,-21.63081,-93.0426,-225.479,-97.88383,-174.5853,-44.12881,-169.5642,-14.63883,-198.0811,30.43058,-242.5817,-39.99237,-259.1344,,,,,R18_P14,R18_P6,R18_P8,R18_P9,R18_P13,R18_P12,,,
R18_P12,-28.5839,-81.84702,-107.1429,-303.158,-93.0426,-225.479,-39.99237,-259.1344,-48.81217,-300.5785,,,,,,,,,R18_P15,R18_P11,R18_P13,,,,,,
R18_P13,28.14177,-81.18991,-48.81217,-300.5785,-39.99237,-259.1344,30.43058,-242.5817,-7.601032,-299.451,,,,,,,,,R18_P12,R18_P11,R18_P10,,,,,,
R18_P14,-123.7444,-5.103363,-250.4152,-212.8702,-236.4143,-166.0873,-134.4661,-150.3085,-97.88383,-174.5853,-93.0426,-225.479,-179.8475,-258.1581,,,,,R22_P6,R18_P5,R18_P6,R18_P11,R18_P15,,,,
R18_P15,-74.5806,-65.4097,-179.8475,-258.1581,-93.0426,-225.479,-107.1429,-303.158,,,,,,,,,,,R18_P14,R18_P12,,,,,,,
