Region data,Center_X,Center_Y,BV0_X,BV0_Y,BV1_X,BV1_Y,BV2_X,BV2_Y,BV3_X,BV3_Y,BV4_X,BV4_Y,BV5_X,BV5_Y,BV6_X,BV6_Y,BV7_X,BV7_Y,,,,,,,,
,487.8679,-385.3932,340.7194,-373.0573,422.7863,-249.1629,602.3757,-281.0176,671.3484,-395.6952,582.9265,-488.275,325.9545,-489.0312,178.9314,-405.9151,,,,,,,,,,
Zones data,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Center_X,Center_Y,BV0_X,BV0_Y,BV1_X,BV1_Y,BV2_X,BV2_Y,BV3_X,BV3_Y,BV4_X,BV4_Y,BV5_X,BV5_Y,BV6_X,BV6_Y,BV7_X,BV7_Y,Connection_1,Connection_2,Connection_3,Connection_4,Connection_5,Connection_6,Connection_7,Connection_8
R19_P0,85.46616,84.11932,560.355,-321.6753,520.1212,-289.4034,550.3857,-272.2842,603.7823,-281.3372,621.7542,-311.3723,,,,,,,R19_P1,,,R20_P1,R19_P8,,,,
R19_P1,24.47299,72.59787,471.9614,-313.0707,488.8138,-280.1837,520.1212,-289.4034,560.355,-321.6753,515.3669,-337.6519,,,,,,,R19_P26,,R19_P0,R19_P7,R19_P6,,,,
R19_P3,-56.97928,70.99948,405.3141,-339.3409,381.8556,-309.8316,404.9062,-276.7477,471.9614,-313.0707,454.7734,-336.1292,,,,,,,R19_P4,R17_P11,R19_P26,R19_P6,R19_P5,,,,
R19_P4,-114.144,35.78217,386.6265,-366.1083,339.2989,-373.4194,381.8556,-309.8316,405.3141,-339.3409,,,,,,,,,R19_P20,R17_P14,R19_P3,R19_P5,,,,,
R19_P5,-59.71054,26.51498,410.107,-398.948,386.6265,-366.1083,405.3141,-339.3409,454.7734,-336.1292,477.4077,-377.2657,454.3522,-394.9505,,,,,R19_P20,R19_P4,R19_P3,R19_P6,R19_P15,R19_P17,,,
R19_P6,-3.259766,41.58371,477.4077,-377.2657,454.7734,-336.1292,471.9614,-313.0707,515.3669,-337.6519,508.7284,-365.9975,,,,,,,R19_P5,R19_P3,R19_P1,R19_P7,R19_P15,,,,
R19_P7,51.42374,35.44949,508.7284,-365.9975,515.3669,-337.6519,560.355,-321.6753,580.7929,-355.4975,541.936,-381.8908,,,,,,,R19_P6,R19_P1,R19_P8,R19_P10,R19_P15,,,,
R19_P8,109.6522,54.76956,580.7929,-355.4975,560.355,-321.6753,621.7542,-311.3723,641.3917,-345.0167,,,,,,,,,R19_P7,R19_P0,R20_P2,R19_P9,,,,,
R19_P9,135.4069,16.16058,591.3204,-388.7659,580.7929,-355.4975,641.3917,-345.0167,671.1542,-394.9599,648.5298,-419.0125,,,,,,,R19_P10,R19_P8,R20_P2,R20_P8,R19_P11,,,,
R19_P10,80.7576,2.950775,563.1953,-402.632,541.936,-381.8908,580.7929,-355.4975,591.3204,-388.7659,,,,,,,,,R19_P14,R19_P7,R19_P9,R19_P11,,,,,
R19_P11,110.8526,-34.95993,570.2466,-456.1849,552.5135,-431.0562,563.1953,-402.632,591.3204,-388.7659,648.5298,-419.0125,619.1252,-449.9167,,,,,R19_P13,R19_P14,R19_P10,R19_P9,R20_P8,R19_P12,,,
R19_P12,92.20956,-85.80316,537.5178,-488.4609,570.2466,-456.1849,619.1252,-449.9167,582.2844,-488.2974,,,,,,,,,R19_P13,R19_P11,R20_P9,,,,,,
R19_P13,34.53043,-74.66617,489.4023,-488.6242,471.1986,-456.1158,509.5522,-431.9058,552.5135,-431.0562,570.2466,-456.1849,537.5178,-488.4609,,,,,R19_P23,R19_P16,R19_P14,R19_P11,R19_P12,,,,
R19_P14,53.69998,-24.64563,509.5522,-431.9058,541.936,-381.8908,563.1953,-402.632,552.5135,-431.0562,,,,,,,,,R19_P15,R19_P10,R19_P11,R19_P13,,,,,
R19_P15,10.37125,-11.81964,472.782,-421.4487,454.3522,-394.9505,477.4077,-377.2657,508.7284,-365.9975,541.936,-381.8908,509.5522,-431.9058,,,,,R19_P17,R19_P5,R19_P6,R19_P7,R19_P14,R19_P16,,,
R19_P16,-14.53668,-53.2576,434.6669,-445.7336,472.782,-421.4487,509.5522,-431.9058,471.1986,-456.1158,,,,,,,,,R19_P17,R19_P15,R19_P13,R19_P23,,,,,
R19_P17,-51.97723,-31.66364,434.6669,-445.7336,402.138,-428.8013,410.107,-398.948,454.3522,-394.9505,472.782,-421.4487,,,,,,,R19_P22,R19_P21,R19_P5,R19_P15,R19_P16,,,,
R19_P18,-246.2188,-30.9556,243.2363,-441.7987,179.8754,-405.2634,248.6334,-391.4059,275.9239,-419.1566,,,,,,,,,,R17_P18,R19_P19,R19_P25,,,,,
R19_P19,-185.0505,-13.79077,306.3174,-436.9848,275.9239,-419.1566,248.6334,-391.4059,339.2989,-373.4194,353.6842,-401.1427,345.1328,-427.0278,,,,,R19_P25,R19_P18,R17_P15,R19_P20,R19_P21,R19_P24,,,
R19_P20,-115.7594,1.051849,353.6842,-401.1427,339.2989,-373.4194,386.6265,-366.1083,410.107,-398.948,,,,,,,,,R19_P19,R19_P4,R19_P5,R19_P21,,,,,
R19_P21,-111.6595,-28.43152,375.3545,-444.5962,345.1328,-427.0278,353.6842,-401.1427,410.107,-398.948,402.138,-428.8013,,,,,,,R19_P24,R19_P19,R19_P20,R19_P17,R19_P22,,,,
R19_P22,-80.72183,-76.6987,387.3683,-488.5815,375.3545,-444.5962,402.138,-428.8013,434.6669,-445.7336,435.7495,-488.5574,,,,,,,R19_P24,R19_P21,R19_P17,R19_P23,,,,,
R19_P23,-31.68677,-83.65625,435.7495,-488.5574,434.6669,-445.7336,471.1986,-456.1158,489.4023,-488.6242,,,,,,,,,R19_P22,R19_P16,R19_P13,,,,,,
R19_P24,-138.6833,-76.64847,387.3683,-488.5815,322.8644,-487.7518,306.3174,-436.9848,345.1328,-427.0278,375.3545,-444.5962,,,,,,,,R19_P25,R19_P19,R19_P21,R19_P22,,,,
R19_P25,-202.9818,-59.28781,243.2363,-441.7987,275.9239,-419.1566,306.3174,-436.9848,322.8644,-487.7518,,,,,,,,,R19_P18,R19_P19,R19_P24,,,,,,
R19_P26,-38.58734,102.4424,471.9614,-313.0707,404.9062,-276.7477,425.4315,-247.1804,465.4952,-260.6917,488.8138,-280.1837,,,,,,,R19_P3,R17_P9,,,R19_P1,,,,
