Region data,Center_X,Center_Y,BV0_X,BV0_Y,BV1_X,BV1_Y,BV2_X,BV2_Y,BV3_X,BV3_Y,BV4_X,BV4_Y,BV5_X,BV5_Y,BV6_X,BV6_Y,BV7_X,BV7_Y,,,,,,,,
,280.759,28.53767,56.86111,70.4257,143.7936,143.2167,149.9628,176.1044,394.539,79.59682,606.0649,-13.41847,624.1403,-74.47247,494.9756,-86.05541,296.8092,-78.9665,187.9606,13.61473,,,,,,
Zones data,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Center_X,Center_Y,BV0_X,BV0_Y,BV1_X,BV1_Y,BV2_X,BV2_Y,BV3_X,BV3_Y,BV4_X,BV4_Y,BV5_X,BV5_Y,BV6_X,BV6_Y,BV7_X,BV7_Y,Connection_1,Connection_2,Connection_3,Connection_4,Connection_5,Connection_6,Connection_7,Connection_8
R2_P4,-59.57991,24.47003,213.8974,28.06614,186.7502,53.37136,203.5221,82.90751,263.037,53.70445,242.2912,35.72422,,,,,,,R2_P34,R2_P27,R2_P32,R2_P16,R2_P17,,,,
R2_P6,100.3866,16.92509,353.3754,43.394,372.8581,80.6884,436.3217,42.99666,375.2767,18.01977,,,,,,,,,R2_P33,,R2_P8,R2_P7,,,,,
R2_P7,58.88062,-20.92199,310.252,11.5594,307.7187,37.25078,353.3754,43.394,375.2767,18.01977,360.0959,-4.03377,328.669,-12.84494,,,,,R2_P16,R2_P33,R2_P6,R2_P8,R2_P13,R2_P15,,,
R2_P8,114.9647,-31.86978,360.0959,-4.033771,375.2767,18.01977,436.3217,42.99666,447.7907,-1.510287,428.4478,-45.54,385.4975,-32.59871,,,,,R2_P7,R2_P6,,R2_P9,R2_P10,R2_P13,,,
R2_P9,205.9803,-74.12536,428.4478,-45.54,447.7907,-1.510286,604.0644,-14.94343,623.0525,-76.07569,495.6588,-86.70001,,,,,,,R2_P8,,,,R2_P10,,,,
R2_P10,138.9643,-92.13896,395.2653,-86.0849,385.4975,-32.59871,428.4478,-45.54,495.6588,-86.70001,,,,,,,,,R2_P11,R2_P8,R2_P9,R4_P17,,,,,
R2_P11,94.62961,-86.7683,350.3305,-59.32843,385.4975,-32.59871,395.2653,-86.0849,,,,,,,,,,,R2_P13,R2_P10,R2_P12,,,,,,
R2_P12,64.7887,-101.5937,297.7253,-79.22656,350.3305,-59.32843,395.2653,-86.0849,,,,,,,,,,,R2_P13,R2_P11,R4_P0,,,,,,
R2_P13,50.328,-68.27502,297.7253,-79.22656,298.9796,-40.43822,328.669,-12.84494,360.0959,-4.03377,385.4975,-32.59871,350.3305,-59.32843,,,,,R2_P14,R2_P15,R2_P7,R2_P8,R2_P11,R2_P12,,,
R2_P14,-4.915192,-71.30688,247.4771,-35.79918,272.2587,-22.03001,298.9796,-40.43822,297.7253,-79.22656,,,,,,,,,R2_P18,R2_P15,R2_P13,R3_P5,,,,,
R2_P15,19.14279,-41.59031,272.2587,-22.03001,281.9794,-0.8626633,310.252,11.5594,328.669,-12.84494,298.9796,-40.43822,,,,,,,R2_P18,R2_P16,R2_P7,R2_P13,R2_P14,,,,
R2_P16,-4.166992,-1.69569,252.7384,11.7872,242.2912,35.72422,263.037,53.70445,307.7187,37.25078,310.252,11.5594,281.9794,-0.8626633,,,,,R2_P17,R2_P4,R2_P33,R2_P7,R2_P15,R2_P18,,,
R2_P17,-55.4696,-15.00406,218.149,-10.64648,188.9346,13.45741,213.8974,28.06614,242.2912,35.72422,252.7384,11.7872,,,,,,,R3_P0,R2_P34,R2_P4,R2_P16,R2_P18,,,,
