Region data,Center_X,Center_Y,BV0_X,BV0_Y,BV1_X,BV1_Y,BV2_X,BV2_Y,BV3_X,BV3_Y,BV4_X,BV4_Y,BV5_X,BV5_Y,BV6_X,BV6_Y,BV7_X,BV7_Y,,,,,,,,
,-339.4304,-112.4292,-494.2645,-28.86575,-406.6203,24.97524,-273.1756,-0.2687378,-216.5366,-106.8946,-252.4111,-214.57,-373.8465,-242.7385,-492.9122,-211.4148,-504.3257,-116.4511,,,,,,,,
Zones data,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Center_X,Center_Y,BV0_X,BV0_Y,BV1_X,BV1_Y,BV2_X,BV2_Y,BV3_X,BV3_Y,BV4_X,BV4_Y,BV5_X,BV5_Y,BV6_X,BV6_Y,BV7_X,BV7_Y,Connection_1,Connection_2,Connection_3,Connection_4,Connection_5,Connection_6,Connection_7,Connection_8
R22_P0,-36.12073,105.6807,-371.8622,-33.82049,-401.5847,-32.00817,-406.266,23.96545,-354.245,14.93083,-345.4707,-16.45813,,,,,,,R22_P9,R22_P1,R5_P7,R22_P8,R22_P10,,,,
R22_P1,-77.38217,83.57959,-456.1348,-39.0384,-406.266,23.96545,-401.5847,-32.00817,-412.4358,-47.14396,,,,,,,,,,R22_P0,R22_P9,R22_P2,,,,,
R22_P2,-93.02618,43.01768,-434.8096,-101.5688,-470.8062,-81.42241,-456.1348,-39.0384,-412.4358,-47.14396,-408.077,-81.10009,,,,,,,R22_P3,,R22_P1,R22_P9,R22_P11,,,,
R22_P3,-101.8917,-12.37936,-497.7044,-143.5666,-470.8062,-81.42241,-434.8096,-101.5688,-419.8433,-130.1426,-443.6263,-154.8353,,,,,,,,R22_P2,R22_P11,R22_P7,R22_P4,,,,
R22_P4,-110.2398,-78.49268,-493.1177,-210.8466,-497.7044,-143.5666,-443.6263,-154.8353,-418.3105,-189.4008,-442.1682,-224.1016,,,,,,,,R22_P3,R22_P7,R22_P5,,,,,
R22_P5,-64.70361,-103.0581,-442.1682,-224.1016,-418.3105,-189.4008,-378.6496,-205.6013,-374.7072,-242.3431,,,,,,,,,R22_P4,R22_P7,R22_P6,,,,,,
R22_P6,34.06427,-86.40475,-374.7072,-242.3431,-378.6496,-205.6013,-321.8713,-170.8559,-236.4143,-166.0873,-250.4152,-212.8702,,,,,,,R22_P5,R22_P7,R22_P12,R18_P14,,,,,
R22_P7,-48.0806,-51.07416,-418.3105,-189.4008,-443.6263,-154.8353,-419.8433,-130.1426,-367.6976,-132.8541,-321.8713,-170.8559,-378.6496,-205.6013,,,,,R22_P4,R22_P3,R22_P11,R22_P12,R22_P6,R22_P5,,,
R22_P8,50.33249,79.98643,-311.697,-67.3084,-345.4707,-16.45813,-354.245,14.93083,-299.5095,5.036854,-272.3133,-0.01279449,-216.0831,-107.9765,,,,,R22_P10,R22_P0,R5_P6,R5_P2,R7_P1,R22_P12,,,
R22_P9,-51.88565,56.37678,-408.077,-81.10009,-412.4358,-47.14396,-401.5847,-32.00817,-371.8622,-33.82049,-373.1772,-69.84061,,,,,,,R22_P2,R22_P1,R22_P0,R22_P10,R22_P11,,,,
R22_P10,-9.242493,62.06049,-373.1772,-69.84061,-371.8622,-33.8205,-345.4707,-16.45813,-311.697,-67.3084,-344.5769,-80.56016,,,,,,,R22_P9,R22_P0,R22_P8,R22_P12,R22_P11,,,,
R22_P11,-44.2674,13.71169,-419.8433,-130.1426,-434.8096,-101.5688,-408.077,-81.10009,-373.1772,-69.84061,-344.5769,-80.56016,-367.6976,-132.8541,,,,,R22_P3,R22_P2,R22_P9,R22_P10,R22_P12,R22_P7,,,
R22_P12,43.01526,-9.779327,-321.8713,-170.8559,-367.6976,-132.8541,-344.5769,-80.56016,-311.697,-67.3084,-216.0831,-107.9765,-236.4143,-166.0873,,,,,R22_P7,R22_P11,R22_P10,R22_P8,R18_P5,R22_P6,,,
