Region data,Center_X,Center_Y,BV0_X,BV0_Y,BV1_X,BV1_Y,BV2_X,BV2_Y,BV3_X,BV3_Y,BV4_X,BV4_Y,BV5_X,BV5_Y,BV6_X,BV6_Y,BV7_X,BV7_Y,,,,,,,,
,1347.447,-98.41026,1177.637,-49.66428,1170.207,44.58455,1293.524,85.73439,1495.187,-75.17806,1487.126,-263.5107,1341.99,-226.8025,1098.666,-128.0896,,,,,,,,,,
Zones data,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Center_X,Center_Y,BV0_X,BV0_Y,BV1_X,BV1_Y,BV2_X,BV2_Y,BV3_X,BV3_Y,BV4_X,BV4_Y,BV5_X,BV5_Y,BV6_X,BV6_Y,BV7_X,BV7_Y,Connection_1,Connection_2,Connection_3,Connection_4,Connection_5,Connection_6,Connection_7,Connection_8
R23_P0,44.65613,-117.1573,1393.587,-241.4173,1342.776,-227.5536,1351.412,-204.8659,1389.758,-192.1428,1413.262,-214.0163,,,,,,,R21_P4,,R23_P7,R23_P3,R23_P1,,,,
R23_P1,72.55469,-133.7319,1393.587,-241.4173,1413.262,-214.0163,1449.534,-228.0512,1429.228,-248.6791,,,,,,,,,R23_P0,R23_P3,R23_P2,R21_P5,,,,,
R23_P2,113.5435,-144.5664,1429.228,-248.6791,1449.534,-228.0512,1486.63,-239.9901,1493.442,-265.5945,,,,,,,,,R23_P1,R23_P4,R24_P32,R21_P6,,,,,
R23_P3,83.54822,-101.6668,1413.262,-214.0163,1389.758,-192.1428,1431.1,-179.8792,1458.574,-196.2641,1449.534,-228.0512,,,,,,,R23_P0,R23_P6,R23_P5,R23_P4,R23_P1,,,,
R23_P4,125.3417,-119.0034,1449.534,-228.0512,1458.574,-196.2641,1488.887,-205.4296,1486.63,-239.9901,,,,,,,,,R23_P3,R23_P5,R24_P1,R23_P2,,,,,
R23_P5,119.6174,-65.84731,1458.574,-196.2641,1431.1,-179.8792,1427.379,-151.4156,1451.549,-128.8327,1492.164,-139.1218,1488.887,-205.4296,,,,,R23_P3,R23_P6,R23_P27,R23_P26,R24_P3,R23_P4,,,
R23_P6,55.60291,-69.3575,1389.758,-192.1428,1370.49,-163.6199,1392.836,-142.9355,1427.379,-151.4156,1431.1,-179.8792,,,,,,,R23_P7,R23_P12,R23_P27,R23_P5,R23_P3,,,,
R23_P7,14.89502,-83.5914,1351.412,-204.8659,1333.12,-192.5936,1370.49,-163.6199,1389.758,-192.1428,,,,,,,,,,R23_P10,R23_P6,R23_P0,,,,,
R23_P8,-81.91455,-76.6434,1231.608,-182.1566,1237.522,-154.6722,1280.26,-157.5884,1272.444,-194.705,,,,,,,,,,,R23_P9,,,,,,
R23_P9,-50.65259,-74.6998,1272.444,-194.705,1280.26,-157.5884,1285.15,-150.2845,1333.12,-192.5936,1311.676,-204.9277,,,,,,,R23_P8,,R23_P10,,,,,,
R23_P10,-15.10535,-61.84616,1333.12,-192.5936,1285.15,-150.2845,1332.665,-144.3096,1370.49,-163.6199,,,,,,,,,R23_P9,R23_P11,R23_P12,R23_P7,,,,,
R23_P11,-31.50769,-27.79906,1285.15,-150.2845,1298.456,-117.6525,1319.914,-103.869,1339.588,-121.1565,1332.665,-144.3096,,,,,,,R23_P14,R23_P25,R23_P28,R23_P12,R23_P10,,,,
R23_P12,13.90601,-43.60353,1332.665,-144.3096,1339.588,-121.1565,1392.836,-142.9355,1370.49,-163.6199,,,,,,,,,R23_P11,R23_P29,R23_P6,R23_P10,,,,,
R23_P13,-98.20288,-34.27814,1218.608,-128.1894,1252.786,-120.0682,1278.411,-146.082,1234.362,-158.0666,,,,,,,,,R23_P15,R23_P14,,,,,,,
R23_P14,-69.77344,-26.22975,1278.411,-146.082,1252.786,-120.0682,1275.888,-105.3196,1298.456,-117.6525,1285.15,-150.2845,,,,,,,R23_P13,R23_P15,R23_P25,R23_P11,,,,,
R23_P15,-103.8387,-4.386856,1218.608,-128.1894,1218.698,-102.6877,1246.503,-86.99071,1275.888,-105.3196,1252.786,-120.0682,,,,,,,R23_P17,R23_P20,R23_P24,R23_P14,R23_P13,,,,
R23_P16,-164.952,-22.22495,1168.9,-138.2457,1150.947,-130.0331,1178.424,-106.6896,1204.319,-122.2473,1203.845,-139.0047,,,,,,,,R23_P18,R23_P17,,,,,,
R23_P17,-144.069,-10.49589,1204.319,-122.2473,1178.424,-106.6896,1198.122,-91.1152,1218.698,-102.6877,1218.608,-128.1894,,,,,,,R23_P16,R23_P19,R23_P20,R23_P15,,,,,
R23_P18,-196.0021,-6.369614,1114.625,-113.6275,1127.871,-98.78757,1151.172,-76.98878,1178.424,-106.6896,1150.947,-130.0331,,,,,,,R14_P14,R14_P15,R23_P19,R23_P16,,,,,
R23_P19,-167.4094,18.25684,1178.424,-106.6896,1151.172,-76.98878,1176.76,-50.02327,1204.664,-67.25166,1198.122,-91.1152,,,,,,,R23_P18,R14_P21,R23_P21,R23_P20,R23_P17,,,,
R23_P20,-126.1202,17.44441,1218.698,-102.6877,1198.122,-91.1152,1204.664,-67.25166,1233.931,-66.60516,1246.503,-86.99071,,,,,,,R23_P17,R23_P19,R23_P21,R23_P24,R23_P15,,,,
R23_P21,-137.7474,61.99996,1204.664,-67.25166,1176.76,-50.02327,1175.047,-2.557617,1228.219,-7.818722,1251.967,-39.24527,1233.931,-66.60516,,,,,R23_P19,R14_P24,R23_P22,R23_P33,R23_P24,R23_P20,,,
R23_P22,-137.4872,123.0669,1175.047,-2.557617,1170.557,40.92421,1225.275,62.5977,1253.652,24.98405,1228.219,-7.818722,,,,,,,R14_P20,,R23_P23,R23_P33,R23_P21,,,,
R23_P23,-65.68665,152.7362,1302.185,23.95993,1253.652,24.98405,1225.275,62.5977,1292.797,85.03777,1337.682,48.43996,,,,,,,R23_P33,R23_P22,,,R23_P32,,,,
R23_P24,-85.78687,26.17163,1246.503,-86.99071,1233.931,-66.60516,1251.967,-39.24527,1286.975,-73.31618,1275.888,-105.3196,,,,,,,R23_P20,R23_P21,R23_P34,R23_P25,R23_P15,,,,
R23_P25,-49.85925,5.691818,1298.456,-117.6525,1275.888,-105.3196,1286.975,-73.31618,1314.874,-79.96819,1319.914,-103.869,,,,,,,R23_P14,R23_P24,R23_P34,R23_P28,R23_P11,,,,
R23_P26,121.7155,3.829178,1451.549,-128.8327,1438.856,-82.81396,1467.499,-52.49813,1493.779,-75.95023,1492.164,-139.1218,,,,,,,R23_P27,R23_P30,,R24_P7,R23_P5,,,,
R23_P27,78.1969,-24.94894,1392.836,-142.9355,1402.871,-106.6533,1438.856,-82.81396,1451.549,-128.8327,1427.379,-151.4156,,,,,,,R23_P29,R23_P30,R23_P26,R23_P5,R23_P6,,,,
R23_P28,-8.149902,4.366577,1339.588,-121.1565,1319.914,-103.869,1314.874,-79.96819,1344.174,-73.04178,1367.282,-91.84228,,,,,,,R23_P11,R23_P25,R23_P35,R23_P36,R23_P29,,,,
R23_P29,28.70386,-16.76392,1339.588,-121.1565,1367.282,-91.84228,1402.871,-106.6533,1392.836,-142.9355,,,,,,,,,R23_P28,R23_P30,R23_P27,R23_P12,,,,,
R23_P30,68.61023,23.7495,1367.282,-91.84228,1405.569,-57.94117,1467.499,-52.49813,1438.856,-82.81396,1402.871,-106.6533,,,,,,,R23_P36,R23_P31,R23_P26,R23_P27,R23_P29,,,,
R23_P31,62.18091,63.78911,1373.43,-25.85898,1398.879,0.914917,1467.499,-52.49813,1405.569,-57.94117,,,,,,,,,R23_P32,,R23_P30,R23_P36,,,,,
R23_P32,-3.501709,110.3554,1328.342,-12.57203,1302.185,23.95993,1337.682,48.43996,1398.879,0.914917,1373.43,-25.85898,,,,,,,R23_P33,R23_P23,,R23_P31,R23_P35,,,,
