Region data,Center_X,Center_Y,BV0_X,BV0_Y,BV1_X,BV1_Y,BV2_X,BV2_Y,BV3_X,BV3_Y,BV4_X,BV4_Y,BV5_X,BV5_Y,BV6_X,BV6_Y,BV7_X,BV7_Y,,,,,,,,
,1983.985,-839.3653,1786.574,-659.1512,1929.444,-692.3444,2081.82,-680.4626,2169.403,-847.5131,2132.19,-915.3731,2069.728,-990.1786,2087.896,-1106.056,1884.776,-1036.264,1803.427,-947.2388,1724.538,-827.1432,,,,
Zones data,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Center_X,Center_Y,BV0_X,BV0_Y,BV1_X,BV1_Y,BV2_X,BV2_Y,BV3_X,BV3_Y,BV4_X,BV4_Y,BV5_X,BV5_Y,BV6_X,BV6_Y,BV7_X,BV7_Y,Connection_1,Connection_2,Connection_3,Connection_4,Connection_5,Connection_6,Connection_7,Connection_8
R29_P0,73.87122,-219.1297,2033.561,-1073.535,2038.836,-1028.195,2074.186,-1027.102,2079.595,-1059.302,2088.23,-1103.861,,,,,,,R29_P1,,R30_P0,R30_P15,,,,,
R29_P1,33.06348,-211.8572,1981.947,-1059.533,2010.555,-1032.304,2038.836,-1028.195,2033.561,-1073.535,,,,,,,,,R29_P6,,R29_P0,,,,,,
R29_P2,38.07141,-163.557,2005.859,-1000.409,2031.925,-979.8892,2048.481,-982.9083,2047.126,-1016.748,2010.555,-1032.304,,,,,,,R29_P7,,,,R29_P9,,,,
R29_P3,-64.96277,-167.9896,1900.476,-1011.059,1903.882,-987.9297,1929.667,-990.6551,1931.079,-1028.59,1910.458,-1029.51,,,,,,,,,R29_P4,,,,,,
R29_P4,-41.47217,-168.8173,1954.224,-1014.333,1931.079,-1028.59,1929.667,-990.6551,1949.232,-984.2045,1974.061,-979.1345,,,,,,,R29_P5,R29_P3,,,R29_P8,,,,
R29_P5,-33.71472,-192.8757,1933.348,-1046.93,1931.079,-1028.59,1954.224,-1014.333,1968.023,-1049.02,1954.53,-1058.497,,,,,,,,R29_P4,R29_P6,,,,,,
R29_P6,-1.335083,-196.1434,1968.023,-1049.02,1954.224,-1014.333,1981.086,-1016.568,2010.555,-1032.304,1981.947,-1059.533,,,,,,,R29_P5,R29_P8,R29_P9,R29_P1,,,,,
R29_P7,16.11646,-150.9846,1981.086,-1016.568,1974.061,-979.1345,2031.925,-979.8892,2005.859,-1000.409,,,,,,,,,R29_P8,R29_P10,R29_P2,R29_P9,,,,,
R29_P8,-12.89465,-166.171,1954.224,-1014.333,1974.061,-979.1345,1981.086,-1016.568,,,,,,,,,,,R29_P4,R29_P7,R29_P6,,,,,,
R29_P9,14.35522,-176.6727,1981.086,-1016.568,2005.859,-1000.409,2010.555,-1032.304,,,,,,,,,,,R29_P7,R29_P2,R29_P6,,,,,,
R29_P10,19.63855,-120.9452,1975.399,-954.469,2004.142,-934.9894,2030.966,-943.6827,2031.925,-979.8892,1974.061,-979.1345,,,,,,,R29_P25,R29_P20,R29_P11,R29_P7,R29_P21,,,,
R29_P11,61.85596,-119.3578,2031.925,-979.8892,2030.966,-943.6827,2065.41,-944.01,2054.467,-982.0994,,,,,,,,,R29_P10,R29_P19,R29_P12,,,,,,
R29_P12,91.56604,-119.7723,2054.467,-982.0994,2065.41,-944.01,2097.319,-954.2947,2069.435,-988.7863,,,,,,,,,R29_P11,R29_P65,R30_P1,,,,,,
R29_P14,140.4047,-32.41962,2093.666,-883.9538,2097.355,-850.0082,2125.649,-826.69,2169.627,-846.9269,2133.05,-915.0992,,,,,,,R29_P17,R29_P34,R29_P67,R30_P4,R29_P66,,,,
R29_P15,20.37366,-27.23999,1993.031,-876.0979,1987.839,-855.7883,2009.789,-847.0759,2025.368,-852.431,2018.597,-880.6801,,,,,,,R29_P30,R29_P31,,R29_P16,R29_P27,,,,
R29_P16,55.11108,-27.97009,2018.597,-880.6801,2025.368,-852.431,2058.042,-853.2802,2050.876,-880.7441,,,,,,,,,R29_P15,R29_P68,R29_P17,R29_P18,,,,,
R29_P17,88.01404,-36.07526,2064.065,-911.4871,2050.876,-880.7441,2058.042,-853.2802,2097.355,-850.0082,2093.666,-883.9538,,,,,,,R29_P18,R29_P16,R29_P34,R29_P14,R29_P66,,,,
R29_P18,50.0415,-58.60101,2033.5,-917.3157,2008.018,-902.3394,2018.597,-880.6801,2050.876,-880.7441,2064.065,-911.4871,,,,,,,R29_P20,R29_P27,R29_P16,R29_P17,R29_P19,,,,
R29_P19,65.78821,-91.14587,2030.966,-943.6827,2033.5,-917.3157,2064.065,-911.4871,2065.41,-944.01,,,,,,,,,R29_P20,R29_P18,R29_P66,R29_P11,,,,,
R29_P20,33.39673,-85.77032,2004.142,-934.9894,2008.018,-902.3394,2033.5,-917.3157,2030.966,-943.6827,,,,,,,,,R29_P26,R29_P18,R29_P19,R29_P10,,,,,
R29_P21,-35.34656,-127.1803,1916.188,-981.8069,1933.023,-954.6378,1975.399,-954.469,1974.061,-979.1345,,,,,,,,,R29_P22,R29_P25,R29_P10,,,,,,
R29_P22,-87.52869,-125.3727,1867.563,-983.1763,1869.933,-957.6797,1900.077,-946.1697,1933.023,-954.6378,1916.188,-981.8069,,,,,,,R29_P23,R29_P24,R29_P28,R29_P21,,,,,
R29_P23,-142.7137,-117.4742,1842.531,-987.9976,1800.787,-943.0328,1825.58,-931.4777,1855.074,-936.3199,1869.933,-957.6797,1867.563,-983.1763,,,,,,R29_P60,R29_P59,R29_P24,R29_P22,,,,
R29_P24,-106.3251,-100.3093,1869.933,-957.6797,1855.074,-936.3199,1867.87,-921.3779,1893.217,-925.7823,1900.077,-946.1697,,,,,,,R29_P23,R29_P59,R29_P58,R29_P28,R29_P22,,,,
R29_P25,-18.80017,-99.88324,1975.399,-954.469,1933.023,-954.6378,1937.638,-931.3337,1969.155,-922.3209,2004.142,-934.9894,,,,,,,R29_P21,R29_P28,R29_P29,R29_P26,R29_P10,,,,
R29_P26,4.832642,-76.95972,1969.155,-922.3209,1972.383,-900.5708,2008.018,-902.3394,2004.142,-934.9894,,,,,,,,,R29_P29,R29_P27,R29_P20,R29_P25,,,,,
R29_P27,13.35315,-50.61176,1972.383,-900.5708,1993.031,-876.0979,2018.597,-880.6801,2008.018,-902.3394,,,,,,,,,R29_P30,R29_P15,R29_P18,R29_P26,,,,,
R29_P28,-66.91028,-99.85852,1900.077,-946.1697,1893.217,-925.7823,1937.638,-931.3337,1933.023,-954.6378,,,,,,,,,R29_P24,R29_P29,R29_P25,R29_P22,,,,,
R29_P29,-49.05103,-70.42889,1937.638,-931.3337,1893.217,-925.7823,1903.759,-897.5017,1938.197,-887.9439,1972.383,-900.5708,1969.155,-922.3209,,,,,R29_P28,R29_P58,R29_P45,R29_P30,R29_P26,R29_P25,,,
R29_P30,-14.62061,-36.00427,1972.383,-900.5708,1938.197,-887.9439,1950.137,-859.3129,1987.839,-855.7883,1993.031,-876.0979,,,,,,,R29_P29,R29_P45,R29_P46,R29_P15,R29_P27,,,,
R29_P31,9.967651,2.578491,1987.839,-855.7883,1976.469,-833.5237,1990.173,-817.705,2014.41,-826.6071,2009.789,-847.0759,,,,,,,R29_P46,R29_P47,R29_P32,,R29_P15,,,,
R29_P32,29.93201,31.0827,2014.41,-826.6071,1990.173,-817.705,1993.827,-795.7026,2020.849,-786.1158,2046.399,-819.7897,,,,,,,R29_P31,R29_P47,R29_P48,R29_P35,R29_P68,,,,
R29_P34,95.79773,5.949829,2058.042,-853.2802,2046.399,-819.7897,2086.906,-808.3583,2125.649,-826.69,2097.355,-850.0082,,,,,,,R29_P68,R29_P35,R29_P64,R29_P14,R29_P17,,,,
R29_P35,69.99109,41.57507,2046.399,-819.7897,2020.849,-786.1158,2048.998,-776.928,2076.872,-785.259,2086.906,-808.3583,,,,,,,R29_P32,R29_P42,R29_P37,R29_P64,R29_P34,,,,
R29_P36,66.9613,93.34949,2064.882,-730.9203,2071.07,-751.032,2039.418,-749.3812,,,,,,,,,,,R29_P38,R29_P37,R29_P40,,,,,,
R29_P37,75.46057,74.44061,2048.998,-776.928,2039.418,-749.3812,2071.07,-751.032,2076.872,-785.259,,,,,,,,,R29_P42,R29_P36,R29_P38,R29_P35,,,,,
