Region data,Center_X,Center_Y,BV0_X,BV0_Y,BV1_X,BV1_Y,BV2_X,BV2_Y,BV3_X,BV3_Y,BV4_X,BV4_Y,BV5_X,BV5_Y,BV6_X,BV6_Y,BV7_X,BV7_Y,,,,,,,,
,205.6,-78.37782,143.1912,-147.7258,121.3714,-56.27444,187.9606,13.61473,296.8092,-78.96649,296.9493,-151.026,,,,,,,,,,,,,,
Zones data,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Center_X,Center_Y,BV0_X,BV0_Y,BV1_X,BV1_Y,BV2_X,BV2_Y,BV3_X,BV3_Y,BV4_X,BV4_Y,BV5_X,BV5_Y,BV6_X,BV6_Y,BV7_X,BV7_Y,Connection_1,Connection_2,Connection_3,Connection_4,Connection_5,Connection_6,Connection_7,Connection_8
R3_P0,-16.65443,76.159,163.7687,-13.16734,188.9346,13.45741,218.149,-10.64648,,,,,,,,,,,R1_P23,R2_P17,R3_P1,,,,,,
R3_P1,-14.87651,53.79406,178.4517,-37.22721,163.7687,-13.16735,218.149,-10.64648,202.3134,-37.33986,,,,,,,,,R3_P2,R3_P0,R3_P4,R3_P3,,,,,
R3_P2,-48.88345,38.69834,121.5504,-57.50919,141.6261,-35.69587,163.7687,-13.16735,178.4517,-37.22721,162.5859,-59.47455,,,,,,,R1_P9,R1_P22,R3_P1,R3_P3,R3_P7,,,,
R3_P3,-14.84685,17.33612,185.807,-83.22752,162.5859,-59.47455,178.4517,-37.22721,202.3134,-37.33986,214.7579,-72.01103,,,,,,,R3_P7,R3_P2,R3_P1,R3_P4,R3_P10,,,,
R3_P4,15.21252,40.47001,214.7579,-72.01103,202.3134,-37.33986,218.149,-10.64648,247.4771,-35.79918,,,,,,,,,R3_P3,R3_P1,R2_P18,R3_P5,,,,,
R3_P5,48.66389,-2.284988,239.8526,-118.1773,214.7579,-72.01103,247.4771,-35.79918,297.7253,-79.22656,291.2375,-104.4652,,,,,,,R3_P10,R3_P4,R2_P14,R4_P0,R3_P6,,,,
R3_P6,63.93381,-51.95934,242.1843,-150.4092,239.8526,-118.1773,291.2375,-104.4652,297.7841,-150.0627,,,,,,,,,R3_P11,R3_P5,R4_P0,R17_P2,,,,,
R3_P7,-47.71109,-15.97817,134.8874,-113.3738,121.5504,-57.50918,162.5859,-59.47455,185.807,-83.22752,187.5969,-119.804,,,,,,,R18_P2,R3_P2,R3_P3,R3_P10,R3_P9,,,,
R3_P9,-39.138,-55.32698,144.2494,-147.1786,134.8874,-113.3738,187.5969,-119.804,201.2074,-148.7375,,,,,,,,,R18_P1,R3_P7,R3_P11,R17_P0,,,,,
R3_P10,1.751968,-20.1928,187.5969,-119.804,185.807,-83.22752,214.7579,-72.01103,239.8526,-118.1773,,,,,,,,,R3_P7,R3_P3,R3_P5,R3_P11,,,,,
R3_P11,14.41034,-55.13365,201.2074,-148.7375,187.5969,-119.804,239.8526,-118.1773,242.1843,-150.4092,,,,,,,,,R3_P9,R3_P10,R3_P6,R17_P1,,,,,
