Region data,Center_X,Center_Y,BV0_X,BV0_Y,BV1_X,BV1_Y,BV2_X,BV2_Y,BV3_X,BV3_Y,BV4_X,BV4_Y,BV5_X,BV5_Y,BV6_X,BV6_Y,BV7_X,BV7_Y,,,,,,,,
,2223.634,-1011.549,2132.19,-915.3731,2169.403,-847.5131,2308.93,-844.6785,2322.146,-1085.379,2258.625,-1258.437,2157.565,-1211.108,2101.345,-1180.673,2087.896,-1106.056,2069.728,-990.1786,,,,,,
Zones data,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Center_X,Center_Y,BV0_X,BV0_Y,BV1_X,BV1_Y,BV2_X,BV2_Y,BV3_X,BV3_Y,BV4_X,BV4_Y,BV5_X,BV5_Y,BV6_X,BV6_Y,BV7_X,BV7_Y,Connection_1,Connection_2,Connection_3,Connection_4,Connection_5,Connection_6,Connection_7,Connection_8
R30_P0,-120.6135,-28.513,2079.595,-1059.302,2074.186,-1027.102,2104.07,-1013.416,2127.573,-1036.224,2108.233,-1059.276,,,,,,,R29_P0,R30_P2,R30_P10,R30_P14,R30_P15,,,,
R30_P1,-112.835,45.54071,2099.934,-991.6039,2069.435,-988.7863,2097.319,-954.2947,2131.968,-952.2372,2124.105,-981.4619,,,,,,,R30_P2,R29_P12,R30_P3,R30_P9,R30_P10,,,,
R30_P2,-139.835,6.354614,2074.186,-1027.102,2069.435,-988.7863,2099.934,-991.6039,2104.07,-1013.416,,,,,,,,,,R30_P1,R30_P10,R30_P0,,,,,
R30_P3,-79.78418,74.61487,2131.968,-952.2372,2097.319,-954.2947,2133.05,-915.0992,2169.637,-924.1769,2162.249,-946.1961,,,,,,,R30_P1,,R30_P4,R30_P8,R30_P9,,,,
R30_P4,-47.3291,118.981,2169.637,-924.1769,2133.05,-915.0992,2169.627,-846.9269,2205.952,-876.1345,2211.335,-909.1066,,,,,,,R30_P3,R29_P14,R30_P24,R30_P5,R30_P8,,,,
R30_P5,10.71436,119.6041,2211.335,-909.1066,2205.952,-876.1345,2256.612,-876.6397,2259.49,-913.0276,,,,,,,,,R30_P4,R30_P24,R30_P6,R30_P8,,,,,
R30_P6,61.97925,108.7357,2259.49,-913.0276,2256.612,-876.6397,2269.776,-845.9851,2309.767,-844.2895,2312.629,-945.3182,2270.2,-943.1953,,,,,R30_P5,R30_P24,R28_P10,,R30_P7,R30_P8,,,
R30_P7,45.65576,-5.912048,2195.865,-1040.848,2203.016,-975.2487,2270.2,-943.1953,2312.629,-945.3182,2322.925,-1084.686,2241.496,-1093.356,,,,,R30_P11,R30_P8,R30_P6,,R30_P22,R30_P12,,,
R30_P8,-7.168945,72.69196,2162.249,-946.1961,2169.637,-924.1769,2211.335,-909.1066,2259.49,-913.0276,2270.2,-943.1953,2203.016,-975.2487,,,,,R30_P3,R30_P4,R30_P5,R30_P6,R30_P7,R30_P9,,,
R30_P9,-62.89355,39.95044,2162.644,-992.5267,2124.105,-981.4619,2131.968,-952.2372,2162.249,-946.1961,2203.016,-975.2487,,,,,,,R30_P10,R30_P1,R30_P3,R30_P8,R30_P11,,,,
R30_P10,-90.76685,2.776917,2104.07,-1013.416,2099.934,-991.6039,2124.105,-981.4619,2162.644,-992.5267,2156.689,-1022.837,2127.573,-1036.224,,,,,R30_P2,R30_P1,R30_P9,R30_P11,R30_P13,R30_P0,,,
R30_P11,-41.81104,0.9675293,2156.689,-1022.837,2162.644,-992.5267,2203.016,-975.2487,2195.865,-1040.848,,,,,,,,,R30_P10,R30_P9,R30_P7,R30_P13,,,,,
R30_P12,-18.14404,-76.31744,2163.403,-1100.589,2167.402,-1071.797,2195.865,-1040.848,2241.496,-1093.356,2223.206,-1126.305,2188.456,-1125.692,,,,,R30_P14,R30_P13,R30_P7,R30_P22,R30_P21,R30_P18,,,
R30_P13,-63.45703,-35.28461,2127.573,-1036.224,2156.689,-1022.837,2195.865,-1040.848,2167.402,-1071.797,,,,,,,,,R30_P10,R30_P11,R30_P12,R30_P14,,,,,
