Region data,Center_X,Center_Y,BV0_X,BV0_Y,BV1_X,BV1_Y,BV2_X,BV2_Y,BV3_X,BV3_Y,BV4_X,BV4_Y,BV5_X,BV5_Y,BV6_X,BV6_Y,BV7_X,BV7_Y,,,,,,,,
,-311.2,105.708,-161.0394,104.657,-191.6554,103.2977,-209.6248,94.77116,-227.7622,49.64046,-273.1756,-0.2687378,-406.6203,24.97524,-462.5643,117.4218,-387.7422,202.6096,-230.4601,203.247,-143.8123,128.0262,,,,
Zones data,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Center_X,Center_Y,BV0_X,BV0_Y,BV1_X,BV1_Y,BV2_X,BV2_Y,BV3_X,BV3_Y,BV4_X,BV4_Y,BV5_X,BV5_Y,BV6_X,BV6_Y,BV7_X,BV7_Y,Connection_1,Connection_2,Connection_3,Connection_4,Connection_5,Connection_6,Connection_7,Connection_8
R5_P2,42.83887,-78.69787,-272.3133,-0.01279545,-299.5095,5.036853,-307.1747,35.4398,-277.5811,56.38664,-227.4863,49.368,,,,,,,R22_P8,R5_P6,R5_P5,R5_P21,R7_P8,,,,
R5_P5,2.166016,-46.93981,-307.1747,35.4398,-342.7346,50.33616,-332.7927,80.26218,-293.3718,79.8748,-277.5811,56.38664,,,,,,,R5_P7,R5_P9,R5_P10,R5_P21,R5_P2,,,,
R5_P6,-6.308197,-84.94598,-354.245,14.93083,-307.1747,35.4398,-299.5095,5.036849,,,,,,,,,,,R5_P7,R5_P2,R22_P8,,,,,,
R5_P7,-45.46042,-72.0544,-406.266,23.96545,-374.6997,50.26358,-342.7346,50.33616,-307.1747,35.4398,-354.245,14.93083,,,,,,,R5_P8,R5_P9,R5_P5,R5_P6,R22_P0,,,,
R5_P8,-83.24533,-51.03353,-406.266,23.96545,-425.7548,58.16682,-387.2718,81.80056,-374.6997,50.26358,,,,,,,,,,R5_P18,R5_P9,R5_P7,,,,,
R5_P9,-49.22577,-32.89565,-374.6997,50.26358,-387.2718,81.80056,-360.4616,98.92464,-332.7927,80.26218,-342.7346,50.33616,,,,,,,R5_P8,R5_P18,R5_P10,R5_P5,R5_P7,,,,
R5_P10,-2.273376,-2.076103,-332.7927,80.26218,-360.4616,98.92464,-337.3749,128.1276,-292.5287,127.5789,-293.3718,79.8748,,,,,,,R5_P9,R5_P20,R5_P16,R5_P26,R5_P5,,,,
R5_P12,45.67191,29.41047,-292.5287,127.5789,-279.3319,157.5013,-241.4066,144.975,-249.141,103.8092,,,,,,,,,R5_P16,R5_P14,R5_P25,R5_P26,,,,,
R5_P14,72.15146,66.70033,-241.4066,144.975,-279.3319,157.5013,-230.1209,204.4274,-203.2379,177.9585,,,,,,,,,R5_P12,R5_P15,R9_P7,R5_P24,,,,,
R5_P15,29.38141,79.98454,-307.6458,173.3949,-307.184,203.3888,-230.1209,204.4274,-279.3319,157.5013,,,,,,,,,R5_P17,,R5_P14,R5_P16,,,,,
R5_P16,0.1967163,42.75887,-337.3749,128.1276,-338.1629,154.6664,-307.6458,173.3949,-279.3319,157.5013,-292.5287,127.5789,,,,,,,R5_P20,R5_P17,R5_P15,R5_P12,R5_P10,,,,
R5_P17,-23.84427,75.0648,-387.9955,201.8287,-307.184,203.3888,-307.6458,173.3949,-338.1629,154.6664,,,,,,,,,,R5_P15,R5_P16,R5_P20,,,,,
R5_P18,-104.0044,-8.410484,-425.7548,58.16682,-460.7294,117.0111,-403.9049,121.7985,-360.4616,98.92464,-387.2718,81.80056,,,,,,,,R5_P19,R5_P20,R5_P9,R5_P8,,,,
R5_P19,-108.5633,39.56992,-460.7294,117.0111,-387.9955,201.8287,-403.9049,121.7985,,,,,,,,,,,,R5_P20,R5_P18,,,,,,
R5_P20,-63.44501,38.76121,-360.4616,98.92464,-403.9049,121.7985,-387.9955,201.8287,-338.1629,154.6664,-337.3749,128.1276,,,,,,,R5_P18,R5_P19,R5_P17,R5_P16,R5_P10,,,,
R5_P21,59.11102,-38.95663,-277.5811,56.38664,-293.3718,79.8748,-249.6425,83.61578,-220.0946,69.94825,-227.4863,49.368,,,,,,,R5_P5,R5_P26,R5_P23,R6_P11,R5_P2,,,,
R5_P23,81.60785,-15.30416,-249.6425,83.61578,-249.141,103.8092,-226.1073,111.0604,-209.9153,92.96907,-220.0946,69.94825,,,,,,,R5_P26,R5_P25,R5_P22,R6_P12,R5_P21,,,,
R5_P22,125.7368,13.11143,-209.9153,92.96907,-226.1073,111.0604,-198.8161,137.0121,-155.6862,137.3545,-150.062,112.1062,-179.4094,106.4106,,,,,R5_P23,R5_P25,R5_P24,,,,,,
R5_P24,110.2915,48.69059,-241.4066,144.975,-203.2379,177.9585,-155.6862,137.3545,-198.8161,137.0121,,,,,,,,,R5_P14,R9_P2,R5_P22,R5_P25,,,,,
R5_P25,81.53876,21.10677,-249.141,103.8092,-241.4066,144.975,-198.8161,137.0121,-226.1073,111.0604,,,,,,,,,R5_P12,R5_P24,R5_P22,R5_P23,,,,,
R5_P26,39.26093,-8.323097,-293.3718,79.8748,-292.5287,127.5789,-249.141,103.8092,-249.6425,83.61578,,,,,,,,,R5_P10,R5_P12,R5_P23,R5_P21,,,,,
