Region data,Center_X,Center_Y,BV0_X,BV0_Y,BV1_X,BV1_Y,BV2_X,BV2_Y,BV3_X,BV3_Y,BV4_X,BV4_Y,BV5_X,BV5_Y,BV6_X,BV6_Y,BV7_X,BV7_Y,,,,,,,,
,-136.4828,-38.00685,-273.1756,-0.2687378,-227.7622,49.64046,-70.20854,6.701286,12.49613,-55.97704,-69.04135,-121.6046,-216.5366,-106.8946,,,,,,,,,,,,
Zones data,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Center_X,Center_Y,BV0_X,BV0_Y,BV1_X,BV1_Y,BV2_X,BV2_Y,BV3_X,BV3_Y,BV4_X,BV4_Y,BV5_X,BV5_Y,BV6_X,BV6_Y,BV7_X,BV7_Y,Connection_1,Connection_2,Connection_3,Connection_4,Connection_5,Connection_6,Connection_7,Connection_8
R7_P1,-81.55759,-17.13205,-216.0831,-107.9765,-272.3133,-0.01279449,-217.7701,-2.766981,-185.006,-45.10562,-178.9819,-109.6512,,,,,,,R22_P8,R7_P8,R7_P10,R7_P2,R18_P5,,,,
R7_P2,-25.62949,-30.25507,-178.9819,-109.6512,-185.006,-45.10562,-124.099,-67.53715,,,,,,,,,,,R7_P1,R7_P11,R7_P3,,,,,,
R7_P3,29.48442,-51.81175,-178.9819,-109.6512,-124.099,-67.53715,-73.51434,-82.9595,-69.92947,-121.8956,,,,,,,,,R7_P2,R7_P15,R7_P14,R18_P6,,,,,
R7_P8,-97.98848,58.58243,-272.3133,-0.01279449,-227.4863,49.36801,-217.7701,-2.766979,,,,,,,,,,,R5_P2,R7_P9,R7_P1,,,,,,
R7_P9,-56.45651,58.9881,-217.7701,-2.766979,-227.4863,49.368,-161.6234,31.03845,-160.5948,4.776237,,,,,,,,,R7_P8,R6_P11,R7_P16,R7_P10,,,,,
R7_P10,-39.03403,20.83691,-185.006,-45.10562,-217.7701,-2.766979,-160.5948,4.776237,-130.9862,-13.81513,,,,,,,,,R7_P1,R7_P9,R7_P16,R7_P11,,,,,
R7_P11,-8.202591,-0.2735977,-185.006,-45.10562,-130.9862,-13.81513,-124.099,-67.53715,,,,,,,,,,,R7_P10,R7_P13,R7_P2,,,,,,
R7_P12,75.16772,13.11938,-72.50604,-39.10904,-96.86319,-13.92972,-70.01708,6.904798,-49.38669,-8.313661,-13.40231,-36.55801,-50.51192,-52.82502,,,,,R7_P13,R7_P16,R1_P12,R1_P16,R7_P14,R7_P15,,,
R7_P13,31.16377,3.284622,-124.099,-67.53715,-130.9862,-13.81513,-96.86319,-13.92972,-72.50604,-39.10904,,,,,,,,,R7_P11,R7_P16,R7_P12,R7_P15,,,,,
R7_P14,99.20798,-31.66157,-69.92947,-121.8956,-73.51434,-82.9595,-50.51192,-52.82502,-13.40231,-36.55801,11.90889,-55.51699,,,,,,,R7_P3,R7_P15,R7_P12,R1_P14,R18_P4,,,,
R7_P15,55.64639,-23.91264,-124.099,-67.53715,-72.50604,-39.10904,-50.51192,-52.82502,-73.51434,-82.9595,,,,,,,,,R7_P13,R7_P12,R7_P14,R7_P3,,,,,
R7_P16,14.04478,41.34684,-130.9862,-13.81513,-160.5948,4.776237,-161.6234,31.03844,-115.2017,18.67052,-70.01708,6.904798,-96.86319,-13.92972,,,,,R7_P10,R7_P9,R6_P8,R6_P5,R7_P12,R7_P13,,,
