Region data,Center_X,Center_Y,BV0_X,BV0_Y,BV1_X,BV1_Y,BV2_X,BV2_Y,BV3_X,BV3_Y,BV4_X,BV4_Y,BV5_X,BV5_Y,BV6_X,BV6_Y,BV7_X,BV7_Y,,,,,,,,
,535.8191,159.0207,385.8546,255.5016,484.2076,296.4265,619.5471,225.6582,716.1133,126.3766,643.0034,-12.36938,606.0649,-13.41847,497.2529,94.52977,412.8779,157.5731,,,,,,,,
Zones data,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Center_X,Center_Y,BV0_X,BV0_Y,BV1_X,BV1_Y,BV2_X,BV2_Y,BV3_X,BV3_Y,BV4_X,BV4_Y,BV5_X,BV5_Y,BV6_X,BV6_Y,BV7_X,BV7_Y,Connection_1,Connection_2,Connection_3,Connection_4,Connection_5,Connection_6,Connection_7,Connection_8
R8_P0,105.0626,-138.3229,611.2042,-1.416416,617.9518,28.74915,642.6423,46.77519,654.0628,8.278574,642.2252,-12.60658,,,,,,,,R8_P5,R8_P1,,,,,,
R8_P1,122.9825,-121.301,642.6423,46.77519,672.9214,45.4215,654.0628,8.278574,,,,,,,,,,,R8_P4,R13_P2,R8_P0,,,,,,
R8_P2,155.5186,-31.80455,700.1133,96.53993,665.1652,134.3616,694.0119,149.0163,715.6818,126.7651,,,,,,,,,R8_P3,R8_P7,,R13_P26,,,,,
R8_P3,131.1089,-50.9278,651.4538,88.58882,640.7124,114.0771,665.1652,134.3616,700.1133,96.53993,,,,,,,,,R8_P6,R8_P8,R8_P2,R8_P4,,,,,
R8_P4,126.8674,-91.42829,642.6423,46.77519,636.1008,69.53677,651.4538,88.58882,700.1133,96.53993,672.9214,45.4215,,,,,,,R8_P5,R8_P6,R8_P3,R13_P10,R8_P1,,,,
R8_P5,83.86945,-105.0644,581.5219,24.59435,604.9073,67.22939,636.1008,69.53677,642.6423,46.77519,617.9518,28.74915,,,,,,,R8_P9,R8_P6,R8_P4,R8_P0,,,,,
R8_P6,90.6618,-67.54526,604.9073,67.22939,601.7294,91.44894,615.5108,112.9228,640.7124,114.0771,651.4538,88.58882,636.1008,69.53677,,,,,R8_P9,R8_P11,R8_P8,R8_P3,R8_P4,R8_P5,,,
R8_P7,132.5947,-5.161743,648.8765,144.9261,648.137,165.1911,664.6416,177.2702,694.0119,149.0163,665.1652,134.3616,,,,,,,R8_P18,R8_P17,,R8_P2,R8_P8,,,,
R8_P8,96.78662,-29.87115,615.5108,112.9228,608.6543,143.2658,648.8765,144.9261,665.1652,134.3616,640.7124,114.0771,,,,,,,R8_P16,R8_P18,R8_P7,R8_P3,R8_P6,,,,
R8_P9,43.20667,-92.14449,544.555,49.59155,562.9108,85.19829,601.7294,91.44894,604.9073,67.22939,581.5219,24.59435,,,,,,,R8_P10,R8_P11,R8_P6,R8_P5,,,,,
