Region data,Center_X,Center_Y,BV0_X,BV0_Y,BV1_X,BV1_Y,BV2_X,BV2_Y,BV3_X,BV3_Y,BV4_X,BV4_Y,BV5_X,BV5_Y,BV6_X,BV6_Y,BV7_X,BV7_Y,,,,,,,,
,18.42047,112.3697,-103.4273,143.4415,-26.02231,180.1182,142.4198,182.5189,120.8196,78.5817,57.60502,69.75199,-26.61707,70.2774,,,,,,,,,,,,
Zones data,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Center_X,Center_Y,BV0_X,BV0_Y,BV1_X,BV1_Y,BV2_X,BV2_Y,BV3_X,BV3_Y,BV4_X,BV4_Y,BV5_X,BV5_Y,BV6_X,BV6_Y,BV7_X,BV7_Y,Connection_1,Connection_2,Connection_3,Connection_4,Connection_5,Connection_6,Connection_7,Connection_8
R0_P5,46.93935,18.0364,67.79466,117.0394,39.67114,132.2578,62.56199,144.8638,65.91307,143.6159,85.29916,132.6547,,,,,,,R0_P13,R0_P4,,,R0_P12,,,,
R0_P4,14.83251,31.86658,12.84054,134.5496,17.35603,155.4502,45.70394,159.7158,62.56199,144.8638,39.67114,132.2578,,,,,,,R0_P9,R0_P11,R0_P10,R0_P5,R0_P16,,,,
R0_P10,54.02573,51.38779,62.56199,144.8638,45.70394,159.7158,52.94917,179.4439,87.00418,180.8619,105.726,148.9874,,,,,,,R0_P4,R0_P11,,,,,,,
R0_P11,14.69729,56.27718,17.35603,155.4502,17.11274,179.6588,52.94917,179.4439,45.70394,159.7158,,,,,,,,,R0_P9,,R0_P10,R0_P4,,,,,
R0_P12,87.88227,5.36393,87.987,105.9627,67.79466,117.0394,85.29916,132.6547,132.1859,130.8813,125.402,102.4325,,,,,,,R0_P13,R0_P5,,R2_P0,R0_P14,,,,
R0_P14,78.48016,-23.4664,57.80385,70.04307,66.94556,89.76588,87.987,105.9627,125.402,102.4325,120.6926,77.66871,,,,,,,R0_P15,R0_P13,R0_P12,R2_P0,R1_P7,,,,
R0_P13,39.54118,-2.371552,34.17375,107.0575,39.67114,132.2578,67.79466,117.0394,87.987,105.9627,66.94556,89.76588,,,,,,,R0_P16,R0_P5,R0_P12,R0_P14,R0_P15,,,,
R0_P15,6.54524,-23.30736,4.012367,69.50243,-14.10692,96.18217,34.17375,107.0575,66.94556,89.76588,57.80385,70.04307,,,,,,,,R0_P16,R0_P13,R0_P14,R1_P10,,,,
R0_P9,-19.91804,45.4183,12.84054,134.5496,-12.45414,135.6389,-27.56456,178.7147,17.11274,179.6588,17.35603,155.4502,,,,,,,R0_P16,R0_P17,,R0_P11,R0_P4,,,,
R0_P16,-15.96442,5.681099,-14.10692,96.18217,-34.42381,120.586,-12.45414,135.6389,12.84054,134.5496,39.67114,132.2578,34.17375,107.0575,,,,,R0_P18,R0_P17,R0_P9,R0_P4,R0_P13,R0_P15,,,
R0_P17,-50.73061,29.04873,-34.42381,120.586,-61.67591,146.3266,-27.56456,178.7147,-12.45414,135.6389,,,,,,,,,R0_P18,,R0_P9,R0_P16,,,,,
R0_P18,-68.9426,0.8727798,-101.4989,141.4551,-61.67591,146.3266,-34.42381,120.586,-14.10692,96.18217,-27.68211,71.16764,,,,,,,,R0_P17,R0_P16,,R6_P0,,,,
