Region data,Center_X,Center_Y,BV0_X,BV0_Y,BV1_X,BV1_Y,BV2_X,BV2_Y,BV3_X,BV3_Y,BV4_X,BV4_Y,BV5_X,BV5_Y,BV6_X,BV6_Y,BV7_X,BV7_Y,,,,,,,,
,97.93333,-6.706641,-69.27552,8.241496,-26.61707,70.2774,57.60502,69.75199,120.8196,78.5817,187.9606,13.61473,121.3714,-56.27444,12.92879,-56.75569,,,,,,,,,,
Zones data,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Center_X,Center_Y,BV0_X,BV0_Y,BV1_X,BV1_Y,BV2_X,BV2_Y,BV3_X,BV3_Y,BV4_X,BV4_Y,BV5_X,BV5_Y,BV6_X,BV6_Y,BV7_X,BV7_Y,Connection_1,Connection_2,Connection_3,Connection_4,Connection_5,Connection_6,Connection_7,Connection_8
R1_P0,13.02476,-14.40196,86.14406,-31.93484,88.47202,-4.606661,118.7857,-6.34738,141.6261,-35.69587,,,,,,,,,R1_P19,R1_P8,R1_P2,R1_P9,,,,,
R1_P2,42.78956,1.085732,141.6261,-35.69587,118.7857,-6.347381,126.857,16.29493,150.8309,12.19193,163.7687,-13.16735,,,,,,,R1_P0,R1_P8,R1_P5,R1_P20,R3_P2,,,,
R1_P5,44.64962,39.22101,150.8309,12.19193,126.857,16.29493,117.282,37.45713,145.8718,52.97544,168.4823,32.93777,,,,,,,R1_P2,R1_P8,R1_P7,R2_P3,R1_P20,,,,
R1_P7,5.643295,60.72813,82.6173,40.35495,57.80385,70.04307,120.6926,77.66871,145.8718,52.97544,117.282,37.45713,,,,,,,R1_P10,R0_P14,R2_P1,R1_P5,R1_P8,,,,
R1_P8,2.499367,24.14276,88.47202,-4.60666,70.81483,15.02431,82.6173,40.35495,117.282,37.45713,126.857,16.29493,118.7857,-6.34738,,,,,R1_P19,R1_P17,R1_P7,R1_P5,R1_P2,R1_P0,,,
R1_P9,7.349144,-39.91993,76.8366,-57.09264,86.14406,-31.93484,141.6261,-35.69587,121.5504,-57.50919,,,,,,,,,R1_P15,R1_P0,R3_P2,,,,,,
R1_P10,-53.33266,62.12691,25.62423,45.71244,4.012371,69.50243,57.80385,70.04307,82.6173,40.35495,,,,,,,,,R1_P11,R0_P15,R1_P7,R1_P17,,,,,
R1_P11,-111.5943,51.99541,-6.632559,21.37933,-50.14768,35.07326,-27.68211,71.16764,4.012368,69.50243,25.62423,45.71244,,,,,,,R1_P12,R6_P2,,R1_P10,R1_P18,,,,
R1_P12,-135.1001,19.12136,-49.38669,-8.313659,-70.01708,6.904799,-50.14769,35.07326,-6.632561,21.37933,-16.25111,-2.368379,,,,,,,R7_P0,R6_P3,R1_P11,R1_P18,R1_P16,,,,
R1_P14,-79.71951,-36.14625,11.90889,-55.51699,-12.88966,-36.55801,7.345611,-24.10065,43.79082,-29.80344,37.85459,-57.19263,,,,,,,R7_P5,R1_P16,R1_P19,R1_P15,,,,,
R1_P15,-36.42398,-39.0891,37.85459,-57.19263,43.79082,-29.80344,86.14406,-31.93484,76.8366,-57.09264,,,,,,,,,R1_P14,R1_P19,R1_P9,,,,,,
R1_P17,-48.01119,34.78091,25.62423,45.71244,82.6173,40.35495,70.81483,15.02431,28.03208,7.977631,,,,,,,,,R1_P10,R1_P8,R1_P19,R1_P18,,,,,
R1_P16,-111.1534,-12.27454,-12.88966,-36.55801,-49.38668,-8.313659,-16.25111,-2.368378,7.345611,-24.10065,,,,,,,,,R7_P4,R1_P12,R1_P18,R1_P14,,,,,
R1_P18,-90.15811,15.24365,7.345611,-24.10065,-16.25111,-2.368379,-6.632557,21.37933,25.62423,45.71244,28.03208,7.977631,,,,,,,R1_P16,R1_P12,R1_P11,R1_P17,R1_P19,,,,
R1_P19,-44.75317,-2.005979,43.79082,-29.80344,7.345609,-24.10065,28.03208,7.977631,70.81483,15.02431,88.47202,-4.60666,86.14406,-31.93484,,,,,R1_P14,R1_P18,R1_P17,R1_P8,R1_P0,R1_P15,,,
R1_P20,68.82333,16.40275,163.7687,-13.16735,150.8309,12.19193,168.4823,32.93777,188.9346,13.45741,,,,,,,,,R1_P2,R1_P5,R2_P3,R3_P0,,,,,
