Region data,Center_X,Center_Y,BV0_X,BV0_Y,BV1_X,BV1_Y,BV2_X,BV2_Y,BV3_X,BV3_Y,BV4_X,BV4_Y,BV5_X,BV5_Y,BV6_X,BV6_Y,BV7_X,BV7_Y,,,,,,,,
,4.359029,5.537673,187.9606,13.61473,120.8196,78.5817,142.4198,182.5189,394.539,79.59682,606.0649,-13.41847,622.9299,-78.23435,478.983,-98.99865,296.8092,-78.9665,,,,,,,,
Zones data,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Center_X,Center_Y,BV0_X,BV0_Y,BV1_X,BV1_Y,BV2_X,BV2_Y,BV3_X,BV3_Y,BV4_X,BV4_Y,BV5_X,BV5_Y,BV6_X,BV6_Y,BV7_X,BV7_Y,Connection_1,Connection_2,Connection_3,Connection_4,Connection_5,Connection_6,Connection_7,Connection_8
R2_P0,159.7706,93.19935,120.6926,77.66871,125.402,102.4325,132.1859,130.8813,151.218,149.0941,213.977,125.3224,203.5221,82.90751,,,,,R0_P14,R0_P12,,,R2_P2,R2_P1,,,
R2_P1,160.5152,61.48907,145.8718,52.97544,120.6926,77.66871,203.5221,82.90751,188.1889,52.03117,,,,,,,,,R1_P7,R2_P0,R2_P4,R2_P3,,,,,
R2_P2,238.5587,73.21388,263.037,53.70445,203.5221,82.90751,213.977,125.3224,273.4453,126.1486,316.3544,77.49748,,,,,,,R2_P4,R2_P0,,,R2_P5,,,,
R2_P3,183.398,26.38188,188.9346,13.45741,168.4823,32.93777,145.8718,52.97544,188.1889,52.03117,213.8974,28.06614,,,,,,,R1_P20,R1_P5,R2_P1,R2_P4,R2_P17,,,,
R2_P4,215.6835,47.54986,213.8974,28.06614,188.1889,52.03117,203.5221,82.90751,263.037,53.70445,242.2912,35.72422,,,,,,,R2_P3,R2_P1,R2_P2,R2_P16,R2_P17,,,,
R2_P5,313.5914,49.37344,307.7187,37.25078,263.037,53.70445,316.3544,77.49748,343.4822,86.41655,370.9984,79.43182,353.3754,43.394,,,,,R2_P16,R2_P2,,,R2_P6,R2_P7,,,
R2_P6,376.7866,39.92509,353.3754,43.394,370.9984,79.43182,436.3217,42.99666,375.2767,18.01977,,,,,,,,,R2_P5,,R2_P8,R2_P7,,,,,
R2_P7,335.2806,2.078012,310.252,11.5594,307.7187,37.25078,353.3754,43.394,375.2767,18.01977,360.0959,-4.03377,328.669,-12.84494,,,,,R2_P16,R2_P5,R2_P6,R2_P8,R2_P13,R2_P15,,,
R2_P8,391.3647,-8.869782,360.0959,-4.033771,375.2767,18.01977,436.3217,42.99666,441.649,-9.44272,428.4478,-45.54,385.4975,-32.59871,,,,,R2_P7,R2_P6,,R2_P9,R2_P10,R2_P13,,,
R2_P9,482.3803,-51.12536,428.4478,-45.54,441.649,-9.44272,604.0644,-14.94343,623.0525,-76.07569,480.4972,-98.4234,,,,,,,R2_P8,,,,R2_P10,,,,
R2_P10,415.3643,-69.13896,394.7478,-89.34204,385.4975,-32.59871,428.4478,-45.54,480.4972,-98.4234,,,,,,,,,R2_P11,R2_P8,R2_P9,R4_P4,,,,,
R2_P11,371.0296,-63.7683,350.3305,-59.32843,385.4975,-32.59871,394.7478,-89.34204,,,,,,,,,,,R2_P13,R2_P10,R2_P12,,,,,,
R2_P12,341.1887,-78.59365,297.7253,-79.22656,350.3305,-59.32843,394.7478,-89.34204,,,,,,,,,,,R2_P13,R2_P11,R4_P0,,,,,,
R2_P13,326.728,-45.27502,297.7253,-79.22656,298.9796,-40.43822,328.669,-12.84494,360.0959,-4.03377,385.4975,-32.59871,350.3305,-59.32843,,,,,R2_P14,R2_P15,R2_P7,R2_P8,R2_P11,R2_P12,,,
R2_P14,271.4848,-48.30688,247.4771,-35.79918,272.2587,-22.03001,298.9796,-40.43822,297.7253,-79.22656,,,,,,,,,R2_P18,R2_P15,R2_P13,R3_P5,,,,,
R2_P15,295.5428,-18.59031,272.2587,-22.03001,281.9794,-0.8626633,310.252,11.5594,328.669,-12.84494,298.9796,-40.43822,,,,,,,R2_P18,R2_P16,R2_P7,R2_P13,R2_P14,,,,
R2_P16,272.233,21.30431,252.7384,11.7872,242.2912,35.72422,263.037,53.70445,307.7187,37.25078,310.252,11.5594,281.9794,-0.8626614,,,,,R2_P17,R2_P4,R2_P5,R2_P7,R2_P15,R2_P18,,,
R2_P17,220.9304,7.995936,218.149,-10.64648,188.9346,13.45741,213.8974,28.06614,242.2912,35.72422,252.7384,11.7872,,,,,,,R3_P0,R2_P3,R2_P4,R2_P16,R2_P18,,,,
R2_P18,238.241,-22.99631,247.4771,-35.79918,218.149,-10.64648,252.7384,11.7872,281.9794,-0.8626643,272.2587,-22.03001,,,,,,,R3_P4,R2_P17,R2_P16,R2_P15,R2_P14,,,,
