Region data,Center_X,Center_Y,BV0_X,BV0_Y,BV1_X,BV1_Y,BV2_X,BV2_Y,BV3_X,BV3_Y,BV4_X,BV4_Y,BV5_X,BV5_Y,BV6_X,BV6_Y,BV7_X,BV7_Y,,,,,,,,
,208.6,-66.97781,143.1912,-147.7258,121.3714,-56.27444,187.9606,13.61473,296.8092,-78.9665,296.9493,-151.026,,,,,,,,,,,,,,
Zones data,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Center_X,Center_Y,BV0_X,BV0_Y,BV1_X,BV1_Y,BV2_X,BV2_Y,BV3_X,BV3_Y,BV4_X,BV4_Y,BV5_X,BV5_Y,BV6_X,BV6_Y,BV7_X,BV7_Y,Connection_1,Connection_2,Connection_3,Connection_4,Connection_5,Connection_6,Connection_7,Connection_8
R3_P0,-19.65443,64.759,163.7687,-13.16735,188.9346,13.45741,218.149,-10.64648,,,,,,,,,,,R1_P20,R2_P17,R3_P1,,,,,,
R3_P1,-17.87651,42.39406,178.4517,-37.22721,163.7687,-13.16735,218.149,-10.64648,202.3134,-37.33986,,,,,,,,,R3_P2,R3_P0,R3_P4,R3_P3,,,,,
R3_P2,-51.88345,27.29834,121.5504,-57.50919,141.6261,-35.69587,163.7687,-13.16735,178.4517,-37.22721,162.5859,-59.47455,,,,,,,R1_P9,R1_P2,R3_P1,R3_P3,R3_P7,,,,
R3_P3,-17.84685,5.936115,185.807,-83.22752,162.5859,-59.47455,178.4517,-37.22721,202.3134,-37.33986,214.7579,-72.01103,,,,,,,R3_P7,R3_P2,R3_P1,R3_P4,R3_P8,,,,
R3_P4,12.21252,29.07001,214.7579,-72.01103,202.3134,-37.33986,218.149,-10.64648,247.4771,-35.79918,,,,,,,,,R3_P3,R3_P1,R2_P18,R3_P5,,,,,
R3_P5,46.09172,-14.70222,250.3962,-114.6727,214.7579,-72.01103,247.4771,-35.79918,297.7253,-79.22656,296.1168,-99.42192,,,,,,,R3_P8,R3_P4,R2_P14,R4_P0,R3_P6,,,,
R3_P6,64.24927,-63.60741,241.8665,-149.527,250.3962,-114.6727,296.1168,-99.42192,297.7841,-150.0627,,,,,,,,,R3_P8,R3_P5,R4_P0,,,,,,
R3_P7,-50.71109,-27.37817,134.8874,-113.3738,121.5504,-57.50919,162.5859,-59.47455,185.807,-83.22752,187.6,-119.8041,,,,,,,,R3_P2,R3_P3,R3_P8,R3_P9,,,,
R3_P8,6.749588,-49.76678,201.2074,-148.7375,187.6,-119.8041,185.807,-83.22752,214.7579,-72.01103,250.3962,-114.6727,241.8665,-149.527,,,,,R3_P9,R3_P7,R3_P3,R3_P5,R3_P6,,,,
R3_P9,-42.138,-66.72699,144.2494,-147.1786,134.8874,-113.3738,187.6,-119.8041,201.2074,-148.7375,,,,,,,,,,R3_P7,R3_P8,,,,,,
