Region data,Center_X,Center_Y,BV0_X,BV0_Y,BV1_X,BV1_Y,BV2_X,BV2_Y,BV3_X,BV3_Y,BV4_X,BV4_Y,BV5_X,BV5_Y,BV6_X,BV6_Y,BV7_X,BV7_Y,,,,,,,,
,462.6,-251.7408,296.8092,-78.9665,478.983,-98.99865,622.9299,-78.23434,793.1333,-74.6584,809.6192,-239.0046,601.6364,-281.0176,421.5797,-250.6654,296.9493,-151.026,,,,,,,,
Zones data,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Center_X,Center_Y,BV0_X,BV0_Y,BV1_X,BV1_Y,BV2_X,BV2_Y,BV3_X,BV3_Y,BV4_X,BV4_Y,BV5_X,BV5_Y,BV6_X,BV6_Y,BV7_X,BV7_Y,Connection_1,Connection_2,Connection_3,Connection_4,Connection_5,Connection_6,Connection_7,Connection_8
R4_P0,-114.0043,136.4717,297.7841,-150.0627,296.1168,-99.42192,297.7253,-79.22656,394.7478,-89.34204,404.248,-126.2093,347.6896,-152.2945,,,,,R3_P6,R3_P5,R2_P12,R4_P4,R4_P3,R4_P1,,,
R4_P1,-125.7758,82.84183,297.7841,-150.0627,347.6896,-152.2945,368.8439,-208.8622,,,,,,,,,,,R4_P0,R4_P3,,,,,,,
R4_P2,-30.47733,28.0354,424.4728,-251.4586,368.8439,-208.8622,446.8419,-201.0234,477.9783,-260.3536,,,,,,,,,,R4_P3,R4_P7,,,,,,
R4_P3,-66.72455,79.79523,446.8419,-201.0234,368.8439,-208.8622,347.6896,-152.2945,404.248,-126.2093,451.1372,-158.5015,,,,,,,R4_P2,R4_P1,R4_P0,R4_P4,R4_P6,,,,
R4_P4,-13.21344,131.0174,451.1372,-158.5015,404.248,-126.2093,394.7478,-89.34204,480.4972,-98.4234,497.3403,-132.9431,,,,,,,R4_P3,R4_P0,R2_P10,R4_P5,R4_P6,,,,
R4_P5,72.26706,137.5496,497.3403,-132.9431,480.4972,-98.4234,579.9568,-85.30246,574.8271,-133.0115,,,,,,,,,R4_P4,,R4_P10,R4_P9,,,,,
R4_P6,28.77267,78.22261,495.4217,-204.4261,446.8419,-201.0234,451.1372,-158.5015,497.3403,-132.9431,531.027,-172.5032,,,,,,,R4_P7,R4_P3,R4_P4,R4_P9,R4_P8,,,,
R4_P7,45.67899,21.43121,477.9783,-260.3536,446.8419,-201.0234,495.4217,-204.4261,546.2598,-216.9227,556.0891,-274.1829,,,,,,,R4_P2,R4_P6,R4_P8,R4_P18,,,,,
R4_P8,62.70175,54.51143,495.4217,-204.4261,531.027,-172.5032,546.2598,-216.9227,,,,,,,,,,,R4_P6,R4_P17,R4_P7,,,,,,
R4_P9,89.69009,98.10304,531.027,-172.5032,497.3403,-132.9431,574.8271,-133.0115,583.5214,-174.5703,,,,,,,,,R4_P6,R4_P5,R4_P10,R4_P17,,,,,
R4_P10,161.2501,133.967,583.5214,-174.5703,574.8271,-133.0115,579.9568,-85.30246,692.9327,-83.43085,666.7034,-135.1534,,,,,,,R4_P9,R4_P5,,R4_P11,R4_P14,,,,
R4_P11,272.4323,137.8391,737.1602,-146.8777,666.7034,-135.1534,692.9327,-83.43085,791.6754,-76.78153,797.2412,-124.1008,,,,,,,R4_P15,R4_P10,,,R4_P12,,,,
R4_P12,310.1808,78.08618,754.1985,-212.5801,737.1602,-146.8777,797.2412,-124.1008,808.6937,-238.0747,,,,,,,,,R4_P15,R4_P11,,R4_P13,,,,,
R4_P13,299.0079,15.76315,732.3991,-254.5228,754.1985,-212.5801,808.6937,-238.0747,,,,,,,,,,,R4_P16,R4_P12,,,,,,,
R4_P14,170.3099,86.91205,583.5214,-174.5703,666.7034,-135.1534,648.2733,-183.8545,,,,,,,,,,,R4_P10,R4_P15,R4_P17,,,,,,
R4_P15,241.5059,74.45053,688.226,-216.1949,648.2733,-183.8545,666.7034,-135.1534,737.1602,-146.8777,754.1985,-212.5801,,,,,,,R4_P21,R4_P14,R4_P11,R4_P12,R4_P16,,,,
R4_P16,263.0153,23.34082,732.3991,-254.5228,688.226,-216.1949,754.1985,-212.5801,,,,,,,,,,,R4_P19,R4_P15,R4_P13,,,,,,
R4_P17,108.6958,62.02773,546.2598,-216.9227,531.027,-172.5032,583.5214,-174.5703,648.2733,-183.8545,,,,,,,,,R4_P8,R4_P9,R4_P14,R4_P20,,,,,
R4_P18,122.0861,1.615189,556.0891,-274.1829,546.2598,-216.9227,614.0284,-237.2061,616.6949,-278.5768,,,,,,,,,R4_P7,R4_P20,R4_P19,,,,,,
R4_P19,197.1826,3.192139,616.6949,-278.5768,614.0284,-237.2061,688.226,-216.1949,732.3991,-254.5228,,,,,,,,,R4_P18,R4_P21,R4_P16,,,,,,
R4_P20,144.6483,38.40736,546.2598,-216.9227,648.2733,-183.8545,614.0284,-237.2061,,,,,,,,,,,R4_P17,R4_P21,R4_P18,,,,,,
R4_P21,185.7269,42.50679,614.0284,-237.2061,648.2733,-183.8545,688.226,-216.1949,,,,,,,,,,,R4_P20,R4_P15,R4_P19,,,,,,
