Region data,Center_X,Center_Y,BV0_X,BV0_Y,BV1_X,BV1_Y,BV2_X,BV2_Y,BV3_X,BV3_Y,BV4_X,BV4_Y,BV5_X,BV5_Y,BV6_X,BV6_Y,BV7_X,BV7_Y,,,,,,,,
,-311.2,105.708,-391.1564,202.3194,-232.0012,206.0484,-145.2451,127.3882,-170.1689,35.84933,-273.1756,-0.2687378,-406.6203,24.97524,-462.5643,117.4218,,,,,,,,,,
Zones data,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Center_X,Center_Y,BV0_X,BV0_Y,BV1_X,BV1_Y,BV2_X,BV2_Y,BV3_X,BV3_Y,BV4_X,BV4_Y,BV5_X,BV5_Y,BV6_X,BV6_Y,BV7_X,BV7_Y,Connection_1,Connection_2,Connection_3,Connection_4,Connection_5,Connection_6,Connection_7,Connection_8
R5_P0,122.4798,-36.84463,-225.6145,60.9967,-209.7273,93.1776,-150.9877,102.9286,-169.9634,35.14233,,,,,,,,,R5_P3,R5_P4,R6_P1,R5_P1,,,,,
R5_P1,96.0054,-70.41709,-240.3313,11.21493,-225.6145,60.9967,-169.9634,35.14233,,,,,,,,,,,R5_P2,R5_P0,R7_P0,,,,,,
R5_P2,42.83887,-78.69787,-272.3133,-0.01279545,-299.5095,5.036853,-307.1747,35.4398,-277.5811,56.38664,-225.6145,60.9967,-240.3313,11.21493,,,,,,R5_P6,R5_P5,R5_P3,R5_P1,R7_P1,,,
R5_P3,58.40199,-25.18282,-277.5811,56.38664,-293.3718,79.8748,-256.2761,107.9806,-209.7273,93.1776,-225.6145,60.9967,,,,,,,R5_P5,R5_P10,R5_P4,R5_P0,R5_P2,,,,
R5_P4,114.774,9.183327,-209.7273,93.1776,-256.2761,107.9806,-155.7106,137.4617,-150.9877,102.9286,,,,,,,,,R5_P3,R5_P11,,R5_P0,,,,,
R5_P5,2.166016,-46.93981,-307.1747,35.4398,-342.7346,50.33616,-332.7927,80.26218,-293.3718,79.8748,-277.5811,56.38664,,,,,,,R5_P7,R5_P9,R5_P10,R5_P3,R5_P2,,,,
R5_P6,-6.308197,-84.94598,-354.5336,15.22631,-307.1747,35.4398,-299.5095,5.036849,,,,,,,,,,,R5_P7,R5_P2,,,,,,,
R5_P7,-45.46042,-72.0544,-406.5546,24.26093,-374.6997,50.26358,-342.7346,50.33616,-307.1747,35.4398,-354.5336,15.22631,,,,,,,R5_P8,R5_P9,R5_P5,R5_P6,,,,,
R5_P8,-83.24533,-51.03353,-406.5546,24.26093,-425.7548,58.16682,-387.2718,81.80056,-374.6997,50.26358,,,,,,,,,,R5_P18,R5_P9,R5_P7,,,,,
R5_P9,-49.22577,-32.89565,-374.6997,50.26358,-387.2718,81.80056,-360.4616,98.92464,-332.7927,80.26218,-342.7346,50.33616,,,,,,,R5_P8,R5_P18,R5_P10,R5_P5,R5_P7,,,,
R5_P10,-2.273376,-2.076103,-332.7927,80.26218,-360.4616,98.92464,-337.3749,128.1276,-292.5333,127.9286,-256.2761,107.9806,-293.3718,79.8748,,,,,R5_P9,R5_P20,R5_P16,R5_P12,R5_P3,R5_P5,,,
R5_P11,96.30011,43.45338,-256.2761,107.9806,-241.4066,144.975,-203.2381,177.9582,-155.7106,137.4617,,,,,,,,,R5_P12,R5_P14,,R5_P4,,,,,
R5_P12,45.67191,29.41047,-292.5333,127.9286,-279.3319,157.5013,-241.4066,144.975,-256.2761,107.9806,,,,,,,,,R5_P16,R5_P14,R5_P11,R5_P10,,,,,
R5_P14,60.46344,61.24924,-241.4066,144.975,-279.3319,157.5013,-230.1209,204.4274,-203.2381,177.9582,,,,,,,,,R5_P12,R5_P15,,R5_P11,,,,,
R5_P15,29.38141,79.98454,-307.6458,173.3949,-307.184,203.3888,-230.1209,204.4274,-279.3319,157.5013,,,,,,,,,R5_P17,,R5_P14,R5_P16,,,,,
R5_P16,-1.781738,41.60316,-337.3749,128.1276,-338.1629,154.6664,-307.6458,173.3949,-279.3319,157.5013,-292.5333,127.9286,,,,,,,R5_P20,R5_P17,R5_P15,R5_P12,R5_P10,,,,
R5_P17,-23.84427,75.0648,-387.9955,201.8287,-307.184,203.3888,-307.6458,173.3949,-338.1629,154.6664,,,,,,,,,,R5_P15,R5_P16,R5_P20,,,,,
R5_P18,-104.0044,-8.410484,-425.7548,58.16682,-460.7294,117.0111,-403.9049,121.7985,-360.4616,98.92464,-387.2718,81.80056,,,,,,,,R5_P19,R5_P20,R5_P9,R5_P8,,,,
R5_P19,-108.5633,39.56992,-460.7294,117.0111,-387.9955,201.8287,-403.9049,121.7985,,,,,,,,,,,,R5_P20,R5_P18,,,,,,
R5_P20,-63.44501,38.76121,-360.4616,98.92464,-403.9049,121.7985,-387.9955,201.8287,-338.1629,154.6664,-337.3749,128.1276,,,,,,,R5_P18,R5_P19,R5_P17,R5_P16,R5_P10,,,,
